,name,connected_component
4536,L'Anicia : La Lentille Verte de Genève,
4539,Michel et Augustin les trublions du goût Palmiers allongés,
4546,naturaplan bio Ahornsirup,
4568,Hermesetas : Mini Sweeteners : 1200 tabletten,
4572,Xylit : Süssungsmittel aus Birke und Buche,
4587,Swiss Alpina : Wenig Kohlensäure,
4588,Rohrzucker weiss,
4590,Béghin Say : La Perruche : Brauner Rohrzucker,
4596,Tropical Mix,
4621,Naturaplan : Mangopüree,
4646,,
4662,Dr.Oetker : Zitronensäure,
4672,Coop Naturaplan Broccoli ,
4674,COOP naturaplan bio Dill,
4685,De Cecco Rigatone n°24,
4697,Jubilor : gemahlen,
4724,Seeberger Walnusskerne,
4726,Naturaplan : Leinsamen,
4824,Naturaplan : Italienisches Olivenöl,
4834,Trolli : Apfelringe,
4864,Huile Extra-Vierge De Noix Pressee A L'Ancienne,
4887,,
4896,,
4901,Filippo Berio Cucinare Olio Di Oliva,
4905,Coop Qualité & Prix Hochstamm Süssmost,
4934,Puget Extra Virgin Olive Oil,
4945,,
4954,Coop Aceto di sidro Alto fusto,
4957,Coop Naturaplan Rotweinessig,
4963,ILIADA KALAMATA Griechisches Olivenöl Extra Vergine,
4966,Coop Qualité & Prix Erdnussöl,
4970,La Organic Oro Select Extra-Virgin Olive Oil Organic Intense,
5020,BLUE ELEPHANT Royal Thai Cuisine Zitronengras,
5023,Coop Qualité & Prix Schweizer Bohnen fein,
5025,SAITAKU simply Japanese SUSHI RICE,
5029,Choya Extra Years,
5033,THAI KITCHEN Jasmine Rice,
5064,Naturaplan : Haferkleie : reich an Nahrungsfasern,
5082,BLUE ELEPHANT Royal Thai Cuisine Thai Premium Rice Jasmine Rice,
5121,,
5162,Saitaku Sesame Seeds White Roasted,
5171,VICHY Célestins ORIGINAL,
5183,Uncle Ben's Vollreis riz complet,
5184,Rolf Hugli Riz Basmati,
5195,Coop naturaplan King Coconut Water Ananas,
5223,Uncle Ben's Vollreis ,
5229,Incarom Intenso,
5245,Coop Qualitè & Prix Jasmin Rice Jasminreis aus Thailand,
5247,Coop Qualitè & Prix Lachsfilets,
5257,,
5266,,
5268,Fine Food Weisse Polenta,
5283,,
5285,Coop Qualité & Prix Schweizer Broccoli,
5291,,
5306,Coop Naturaplan Risotto Carnaroli,
5307,Thailandais Riz Parfumé,
5329,Coop FINE FOOD LENTILLES VERTES DU PUY AOP,
5339,Ebly Zartweizen,
5343,,
5345,,
5347,,
5349,Coop Naturaplan Goldhirse,
5354,,
5359,Coop naturaplan Red Quinoa,
5363,,
5372,,
5391,,
5397,,
5402,SCYAVURU STORIE DI GUSTI E SAPORI DI SICILIA FRAGOLINA DI SCIACCA E RIBERA COMPOSTA SICILIA,
5412,SIRAGUSA SELEZIONE SICILIANA MIELE DI MILLEFIORI,
5427,,
5432,CREAZIONI ITALIA OLIO EXTRA VERGINE DI OLIVA,
5461,Bio Spaghetti ,
5465,Naturaplan Figs,
5468,Coop Mandelmus Weiss Karma,
5545,,
5561,Coop Butter,
5570,,
5571,Caffè Mauro - Roasted organic coffee blend,
5602,Seeberger Brazil nuts shelled,
5617,Coop Qualité & Prix Rooibostee natur,
5620,Seeberger Feine Spezialitäten Almonds,
5627,Seeberger Haselnusskerne,
5629,,
5630,Coop Naturaplan Pure Ceylon Tea Mix,
5631,,
5634,,
5642,,
5645,coop Qualité & Prix Black Tea CEYLON,
5659,,
5668,,
5670,,
5671,coop freefrom Butter,
5677,Kräuter-Pfarrer Künzle BRENNESSELBLÄTTER,
5687,Twinings of London Pure Verbena Herbal Infusion Tea,
5694,Coop Naturaplan Vollrahm,
5698,Coop Fine Food Sencha,
5703,Lipton YELLOW LABEL TEA,
5704,coop naturaplan Kamillentee bio,
5713,Twinings of London Fenchel Fenouil,
5719,Coop Naturaplan Grüntee,
5736,Lipton Herbal Infusion WITH FRUITY TASTE,
5740,Coop naturaplan Pomodori Pelati,
5780,Barilla Tortellini Grandi Emiliani Ricotta e Spinaci,
5794,,
5806,La Chinata Smoked Paprika Powder,
5816,De Cecco Spaghetti n° 12,
5822,,
5832,De Cecco Conchiglie Rigate n°50,
5834,,
5844,Milaneza Cotovelinhos ,
5846,DE CECCÒ dal 1886 Orecchiette no. 91 METODO DE CECCO,
5849,RUMMO PENNE RIGATE No 66,
5851,coop naturaplan Ananasringe getrocknet,
5852,morga suisse Datteln natural getrocknet,
5855,coop Haselnüsse ganz,
5861,,
5870,Sicilia L'authentique Zitronensaft,
5872,edamama SOYBEAN NOODLES,
5877,Morga Pistazien roh,
5892,Morga Ingwer,
5893,Kurukahveci Mehmet Efendi Türkischer Kaffee,
5907,Morga Papaya-Streifen,
5909,morga Paranusskerne,
5917,,
5925,,
5927,De Cecco Spaghettini n° 11,
5931,Cremo : Milch : UHT 3.5%,
5935,,
5940,Sarson's Malt Vinegar,
5955,,
5958,PG Tips Free the Fresh Taste,
5960,Coop Naturaplan Butter,
5971,Maldon Sea Salt Flakes,
5981,Coop Naturaplan Apfelbanen gelrocknet,
6014,SUISSE GARANTIE FLORALP,
6017,Coop : Qualité&Prix : Milch : Standardisierte Vollmilch 3.5% Milchfett,
6020,Biota Cassis,
6030,Coop JaMaDu Apfel Reiswaffeln,
6035,Crème fraîche épaisse,
6061,coop naturaplan Bio Schafmilchjogurt,
6066,Findus : Marché : Gemüse-Mix : Royal,
6070,,
6078,,
6100,LRG Lait vaudois entier,
6101,Coop naturaplan Schafmilch,
6104,Emmi Kafeerahm,
6117,Coop Naturaplan Magermilch,
6125,Le petit chevrier Ziegenmilch,
6127,,
6143,Yoplait Calin+,
6147,Coop Baumnussöl,
6149,Yoplait Petit Yoplait Lait d'Origine France,
6164,Coop Naturaplan Bio Magerquark Nature,
6168,Yoplait Calin +,
6242,Schwarz Tee,
6243,Coop Naturaplan Bio Saurer Halbrahm ,
6248,naturaplan : Alpenkräuter-Tee,
6250,Raw health Bio - White Chia Seeds ,
6276,,
6285,OPALINE : ABRCOTS,
6290,Presidio Slow Food MORTADELLA CLASSICA Solo carne italiana BONFATTI,
6317,OPALINE - POMMES ET POIRES,
6318,OPALINE : POMMES ET SUREAU,
6322,"Spur : Jus d'orange, pamplemousse & framboise",
6323,"Ethical Coffee, Espresso",
6324,Cafés TROTTET : MOCCA LUXE,
6329,gingo : GINGER + LEMON,
6340,Andros : Beeren Mischung,
6356,Coop : Qualité&Prix : Marroni geschält,
6357,Naturaplan : Marroni geschält Bio,
6362,,
6383,innocent pur jus d'orange avec pulpe 100% oranges pressées,
6396,,
6412,Coop Prix Garantie Jus d'orange,
6423,Iglo Dorschfilets Royal,
6430,coop Qualité & Prix Pazifische Dorschfilets Royal,
6434,Coop Naturaplan Lachsfilets,
6445,Leisi Kuchenteig ,
6456,Lune de miel: Tartimiel,
6477,Pulpo Ganz Gereinigt,
6483,,
6486,Coop Eglifilets,
6489,,
6492,Innocent Orange & Mango Juice,
6497,,
6499,COOP Qualite & Prix Crevetten,
6500,,
6502,Coop Naturaplan Cocktailcrevetten gekocht bio,
6504,"innocent apple, peach & pear juice",
6507,Naturaplan : Rainbow Salad,
6513,,
6521,Betty Bossi Randen-Stäbli,
6529,Coop Naturaplan Bio Betty Bossi Randenwürfel,
6532,Betty Rossi Nüsslisalat,
6535,coop Betty Bossi Mélange de jeunes pousses,
6536,Betty Bossi : Cicorino rosso & Endivie,
6541,GOLD STAR Ganze Crevetten gekocht,
6554,Betty Bossi : Jungsalat,
6556,Coop Qualité & Prix Kresse,
6557,,
6563,,
6564,Coop Naturaplan Petersilie,
6567,Betty Bossi coop naturaplan Doucette,
6572,Coop - Naturaplan - Kerbel,
6575,Coop Naturaplan bio-marjolaine,
6583,PRÉSIDENT Le Palet de Chèvre Crémeux,
6588,Coop - Naturaplan - Estragon,
6617,Coop Naturaplan Bio MA Région Roquette Avec Bourgeon,
6625,Président Crottins,
6643,GRANINI : ORANGE 100%,
6674,,
6693,CREMO - Raclette MAZOT,
6704,Hotos Feta Cheese,
6705,,
6736,,
6749,"RAMSEIER : HOCHSTÄMMER, obstsaft naturtrüe",
6758,Moulin De Lauziéres Les Baux de Provence,
6759,,
6804,"RAMSEIER : HOCHSTÄMMER, obsaft naturtrüb",
6903,Chateau Croix De Tourans Saint-Émilion Grand Cru 2011,
6908,Salamandre Lavaux AOC 2014,
6925,,
6929,SMIRNOFF-ICE,
6938,,
6998,Chateau D'Aiguilhe Castillon Côtes De Bordeaux 2011,
7060,La Verte BRASSERIE DU MONT BLANC La Verte au GENEPI,
7069,Leffe Blonde,
7115,,
7194,Bio Rahmtilsiter mild,
7247,,
7330,"Coop NaturaFarm: 6 Schweizer Eier, Swiss collection",
7335,"Coop Naturaplan: Pic-Nic Eier Bio, gekocht/gefärbt",
7393,,
7399,Coop Naturaplan Bio: Oeufs de Suisse romande,
7454,Valisiana Dôle Blance Valais AOC 2015,
7466,Coop - Naturaplan - Power Mix - Sprossen Mischtung,
7469,Blanche de Namur: Wheat beer,
7476,"Coop - Naturaplan - Alfalfa, Rucola, Sprossen ",
7478,Coop - Naturaplan - Zweibel Sprossen,
7483,Betty Bossi - Thai Kit,
7484,Betty Bossi - Zitronengras,
7498,Betty Bossi - Thai Basilikum,
7499,Couscous,
7501,Betty Bossi - Rosmarin,
7504,Coop - Naturaplan - Thymian,
7508,Sabo - Life Oil ,
7510,Feincremiger Blütenhonig,
7524,Sabo - Woköl - Ingwer & Lemongras,
7525,Sabo - Geröstetes Erdnussöl,
7527,Olio per pizza con peperoncini,
7540,Vollmilch,
7549,Rohzucker aus Zuckerrohr,
7550,Weizenhalbweissmehl,
7670,Coop Naturaplan Bio: 6 Eier gross,
7704,"Kilkenny, Irish beer",
7724,Cailler cuisine - cocoa powder,
7726,"Fuller's, London pride",
7740,OPALINE : POMMES ET FRAMBOISES,
7763,Betty Bossi : Eisbergsalat,
7765,M-Classic Erdnussöl,
7799,Jean Hervé - Almond Purée,
7800,Bio Popcorn,
7807,Naturaplan Bio whole Almonds ,
7880,Fisherman's Friend Eucalyptus-Menthol,
7920,Migros Bio Kürbis gewürfelt,
7972,Migros Bio Preiselbeer Plus,
8018,Migros De la région Spinat,
8023,,
8028,,
8040,Alnatura Sauerkraut Saft milchsauer vergoren,
8044,Alnatura Birnen Saft klar,
8045,Alnatura Kokosöl nativ,
8056,,
8060,Alnatura Orangen Saft Direktsaft,
8061,Malee Lychee juice,
8064,Cueillette Descours Marrons Entiers Cuits à la vapeur,
8065,Alnatura Kokos Milch,
8076,Migros Sélection Steiruches Kürbis Kernöl,
8078,Migros Bio Randensaft mit Birnensaft,
8086,Migros Baum Nussöl,
8113,,
8145,M-Budget Apfelsaft,
8157,,
8158,Alnatura Vollkorn Farfalle Pâtes de blé complet,
8160,Alnatura Kicher Erbsen,
8162,Alnatura Amaranth bio,
8164,Migros Bio Rote Linsen,
8166,ALNATURA Pink Grapefruit Jus de pamplemousse rose ,
8170,,
8178,,
8183,Migros Bio Datteln,
8185,,
8186,Terrasuisse Weissmehl,
8188,cristal Feinkristall-Zucker,
8193,M Classic Apfelsaft vegan,
8215,Zucristevia kristallin,
8217,,
8225,MIGROS BIO Haselnüsse gemahlen,
8236,,
8237,,
8250,Sun Queen Kokosschnitze Getrocknet,
8259,Alnatura Dinkel Locken,
8263,,
8268,MIGROS BIO Sonnenblumenkerne,
8270,MIGROS BIO Rohrzucker-Sticks,
8277,,
8284,Alnatura Bio Vollrohrzucker Rezepte Mango-Chutney,
8287,ALNATURA Spaghetti 100 % Hartweizen,
8295,,
8296,M Classic Hagelzucker,
8302,Migros Bio Aprikosen  Getroknet und entsteint,
8306,M Classic Orangensaft,
8307,,
8311,GOLD 100% FRUIT JUICE,
8312,Bohnenkraut Getrocknet,
8319,Migros Goji Beeren,
8321,,
8325,,
8328,MIGROS BIO Urdinkel Vollkornmehl,
8331,ALNATURA Tomaten Mark,
8340,Alnatura Quinoa,
8341,,
8344,Migros Bio Blütenhonig,
8346,,
8349,M-Classic Rote Kidney Bohnen,
8352,MIGROS BIO Risotto Mittelkornreis,
8364,Alnatura Naturreis mit Wildreis,
8367,Originario Milchreis,
8369,Migros Bio Buchweizen,
8405,Migros Bio Couscous,
8424,ALNATURA Bulgur,
8427,Sélection Lavendel Blüten Honig,
8428,MIGROS BIO Hafervollkornflocken fein,
8436,Graines de Sésame,
8469,M Classic Fusilli,
8471,Alnatura Kürbis Kerne,
8473,Bramata Maisgriess grob,
8502,,
8513,MIGROS Bio Klostergarten Bio Salbeiblättertee,
8524,CARUSO GUSTO ITALIANO ESPRESSO,
8531,,
8553,,
8554,Twïn Espresso Forte,
8555,Migros Bio Kamille,
8560,Tea Time Kamillentee,
8568,Tetley Darjeeling,
8569,Migros Bio Fencheltee,
8573,,
8575,Migros Tea Time Hagebutten,
8577,,
8579,ALBO WEISSER THUNFISCH,
8581,Migros Sélection Espresso Mexico Single Origin Café,
8606,Caruso Guesto Italiano Ristretto Röstkaffee in Bohnen,
8613,DELIZIO NONSOLOCAFFE TEA CEYLON PEKOE,
8620,M-Classic Kopfsalat,
8622,TEA TIME Orangenbluten,
8630,Pelican Pangasiusfilets,
8644,Delpierre MSC Miettes de Morue Salée,
8667,,
8668,Alnatura Origin Lachs Filets,
8676,,
8677,Bio Migros Randen Gewürfelt,
8698,OPTIGAL Schweizer Geflugel Volaille Suisse POULET ganz. entier,
8725,M-Budget Blütenhonig,
8736,,
8741,Alnatura Blüten Honig,
8744,GERMAIN CROTTIN de Chèvre ,
8745,Anna's Best Kopfsalat,
8746,,
8749,Migros finest Ente Barbarie,
8751,Migros Sommerblüten-mit Akazienhonig,
8755,Anna's BEST Champignons geschnitten,
8762,,
8767,,
8775,,
8776,,
8778,,
8784,,
8811,Clémentines pressées,
8812,Anna's Best Grüner Kopfsalat,
8816,Migros De la région Le Maréchal Fondue,
8832,Milch Drink (Past),
8854,Raclette,
8858,Salatkäse,
8868,Vollziegenmilch,
8892,MDrink (Past),
8906,Heidi Milch,
8936,,
8941,Cremo Vorzugs Butter,
8952,,
8969,Milco Crème Fraîche Saurerer Vollrahm,
8980,Milco BEURRE de TRADITION,
8982,,
8998,,
9008,Migros Bio Butter,
9015,Anna's best Granatapfel,
9016,Gekühlt streichfähige Butter,
9028,Valflora Vorzugsbutter,
9030,Crème Double,
9055,Migros Crème Fraiche ,
9062,Milco Crème Fraîche épaisse,
9079,Patissier Maisstärke ,
9086,,
9093,Patissier Blattgelatine,
9110,Alnatura Agaven Dicksaft,
9125,M Classic 6 Schweizer Eier,
9130,,
9168,M Budget 15 IMPORTEIER Bodenhaltung,
9180,Migros Joghurt aus pasteurisierter Schafsmilch,
9185,Migros maxi 4 Frühstückseier,
9190,Edamame,
9196,Migros De la région yogourt au lait de chèvre Nature,
9228,Migros Schweizer Picknickeier,
9254,Alnatura Baby Fenchel Tee,
9295,Broccoli-Röschen,
9298,,
9307,Cherrytomaten,
9311,,
9324,Blumenkohl-Röschen,
9340,taglio fresco mini CITTERIO la Bresaola GLUTENFREI,
9341,Migros Haricots Verts,
9347,Schweizer Bohnen,
9349,Spinat gehackt,
9359,Hafer Flocken Feinblatt,
9361,Schweizer Erbsen,
9365,Kalbs-Milken,
9366,Kichererbsen,
9367,Schweizer Hackspinat,
9369,Gartenerbsen,
9370,Broccoli,
9376,Rosenkohl,
9392,Grüner Tee Sencha,
9398,Farmer's Best Kefen,
9401,Cherry-Tomaten Rispen,
9412,Matcha Grüntee,
9433,Anna's Best Ananaswürfel,
9434,M Budget ÄPFEL,
9443,Feigen blau,
9445,Zwiebeln rot,
9453,Migros Kefin Mange-tout,
9461,Himbeeren ungezuckert,
9472,Tomate Cherry San-Marzanino,
9479,Aprikosen ,
9495,,
9506,Migros Chilli,
9507,MIGROS : Bio-Chamignon braun,
9516,,
9519,MIGROS : Bio Laitue pommée rouge,
9530,Johannisbeeren,
9532,MIGROS Chicorée,
9536,Migros Zucchetti,
9566,Heidelbeeren wild ungezuckert,
9581,Halbe Zwetschgen ungezuckert ,
9586,M Budget : Champignons,
9588,Migros Nektarinen gelb,
9591,EPINARDS,
9698,Alnatura Beikost Öl,
9732,Migros - Bio - Avocat,
9736,Baked potatoes,
9737,Migros - Bio - Kiwi,
9752,Poulethälse,
9762,Fenchel Tee,
9815,Poulet Ailerons,
9819,Gartenerbsen mit Karotten,
9820,Bohnen fein,
9826,"Nestcafé Dolce Gusto espresso - Roast & ground coffee, packed in a protective atmosphere",
9840,Migros - Bio - Zitronen,
9848,Migros - M Budget - Kartoffeln,
9863,,
9866,Schweizer Edamame,
9867,Rosa Knoblauch,
9873,,
9889,,
9894,Coop Bergmilch aus den Fribourger Voralpen,
9899,,
9918,coop naturaplan Haselnüsse ganz,
9920,Tête de Moine Rosetten,
9926,Uncle Ben's KOCHBEUTEL BASMATI,
9976,Mister Rice Jasmin-Coco Rice  kochbeutel,
9982,MIGROS SÉLECTION LUNGO COSTA RICA SINGLE ORIGIN CAFÉ,
10028,Coop Betty Bossi Pink Grapefruitsaft,
10031,MIGROS BIO parboiled,
10061,Silivri YOGHOURT NATURE,
10070,Pouletrücken mit Haut,
10090,Migros M Classic Meeresfrüchtemischung Gekocht,
10172,Migros Zuckermais Bio ,
10188,,
10190,RICH Secco,
10227,Migros Bio Baby Ananas Scheiben,
10242,MIGROS BIO  Instant Kaffe,
10243,,
10293,Coop Naturaplan Kaffeerahm,
10296,Hero Honig Miele Creamy,
10303,Coop Prix Garantie Olivenöl,
10347,Coop naturaplan bio Pangasiusfilets,
10359,Nestlé JOGHURT NACH GRIECHISCHER ART NATURE gesüsst,
10360,Coop Naturaplan Kokosöl BIO,
10374,Perline Lentilles vertes,
10379,Coop Finest Tea Earl Grey,
10412,MIGROS aus der Region Geräucherte Forellenfilets,
10425,"Patissier Pistazien grün, gehackt",
10569,BIOSUISSE REYNALD PARMELIN ARTISAN-VIGNERON BEGNINS-SUISSE Cuvée Noble Rouge DOMAINE LA CAPITAINE,
10639,COOP naturaplan Drink,
10685,Migros Bio Orangensaft,
10695,Coop Qualité & Prix Pink Grapefruitsaft,
10701,Coop let's cook! Kartoffeln gekocht,
10711,Schweizer Broccoli,
10782,coop Qualité & Prix Jäger Pilzmischung,
10783,coop naturaplan Black Tiger Crevetten Tail-on,
10792,TEA-TIME Fantastic Orange,
10801,Terrasuisse Vollkornmehl,
10820,Yoplait Calin + Fromage blanc,
10853,Mozzarella,
10878,MOULIN-A-VENT APPELLATION MOULIN-A-VENT CONTROLEE,
10884,MIGROS BIO Leinsamen,
10900,Coop Ananas getrocknet,
10913,Betty Bossi Jung-Spinat,
10927,Coco juice pure organic coconut juice,
10996,Migros Bio Haferkleie,
11037,Coop Naturaplan Bio Brennnesseltee Beutel mit Aromaschutz,
11045,Hotos Manouri Cheese (P.D.O.),
11048,,
11079,Alnatura Tomaten Saft ,
11101,Terrasuisse Urdinkel-Mehl Classic,
11125,Coop Naturaplan Baumnüsse,
11128,,
11144,CATINE PELLEGRINO 1880 GORGOTONDO nero d'avola - cabernet sauvignon 2012 TERRE SICILIANE,
11190,Delizio Espresso Classico,
11206,Coop let's cook! Federkohl,
11220,Subito Pasta Carbonara 2 Portionen,
11240,Migros Data Bio Scheweizer Haferflöckli,
11278,,
11352,Morga Issro Aprikosen Sauer Getrocknet,
11402,Coop Naturaplan Bio Quinoaflocken,
11551,coop naturaplan Betty Bossi Rüebli bio,
11552,Anna's Best Rucolasalat,
11555,Coop naturaplan Buttermilch Nature Sauer,
11618,"coop PR!X Garantie Lachsfilets mit Haut, entgrätet",
11673,,
11689,Gold Ananassaft,
11721,CHÂTEAU BELLE-VUE HAUT-MÉDOC 2012,
11737,Coop Dörrbohnen,
11762,Cuida Té Green Tea Jazmín,
11782,YOGI TEA Ingwer Zitrone,
11815,,
11902,Biscuit Classic Tortenboden,
11908,M Classic Melonemischung,
11934,,
11967,ST. DALFOUR Rhapsodie de fruit Schwarze Johannisbeeren Ohne Zusatz von Zucker,
12085,Coop Qualité & Prix BLÜTENHONIG,
12105,,
12163,"ALNATURA, Frucht Punsch Holunder",
12165,M Budget NATÜRLICHES MINERALWASSER,
12185,Coop Qualité & Prix Distelöl,
12200,Alnatura Hafer Getreidebrei Bouillie D'Avoine,
12241,GOLD STAR SARDINEN,
12244,coop naturaplan Fencheltee,
12249,Bonherba : Kräuterbonbons mit Honig,
12357,Coop Naturaplan Ghee,
12387,,
12388,Emmi Mozzarella Kugel,
12400,Farmer Mineral Natürliches Mineralwasser,
12452,MAILLE Grande Cuvée RED WINE VINEGAR,
12514,Milco la Faisselle Frischäse aus dem Greyerzerland,
12544,Migros Bio Kaltgepresstes Kokosöl,
12547,coop Qualité & Prix NAPOLI Tortiglioni Teigwaren aus Hartweizengriess,
12605,Hipp Bio Kinder Knabber-Sternchen mit Fruchten,
12635,Nâmmèo Black Fungus,
12736,,
12747,M Classic Mandeln geschält,
12754,coop Qualité & Prix GALA Spiralen,
12775,Cirio Red Wine Vinegar,
12847,Terrasuisse Hörnli UrDibkel,
12867,Coop Freefrom Magerquark Nature Lactosfrei,
12878,Twinings of London Pure White Tea,
12927,Coop Naturaplan Schweizer Blütenhonig,
12934,Danone Petit Suisse Gervais Fromage Frais,
12937,Alnatura Italienisches natives Olivenöl extra fruchtig,
12991,Coop Naturaplan Perfume Rice,
12998,coop naturaplan BUTTER,
13037,Coop Qualité & Prix Pangasiusfilets,
13038,Terrasuisse Schweinehackfleisch,
13052,Migros Caruso Gusto Italiano Imperiale Crema,
13133,M Budget REIBKÄSE,
13157,coop naturaplan Birnel Birnensaftkonzentrat,
13173,FLORALP VORZUGSBUTTER,
13176,Migros Fish & Dip MSC Mini-Stäbchen in Frischebeuteln,
13180,Aarberg Feinkristallzucker,
13182,Coop Fine Food Steirisches Kürbiskernöl,
13200,Morga Feigen Natural,
13299,SMIRNOFF ICE VODKA MIXED DRINK,
13339,Seeberger Wertvolle Snacks Soft Datteln,
13348,innocent apple & berry juice never from concentrate,
13457,Coop naturaplan Pangasiusfilets,
13475,ALNATURA Limetten Saft,
13482,Trauben weiss kernlos,
13578,M-Budget Spiralen Teigwaren aus Harweizengriess,
13581,Le Cabécou,
13589,Coop Betty Bossy Blutorangensaft,
13627,Slimline Blanc Battu,
13639,,
13678,Cherry melange,
13744,MIGROS : Pleurote Grise du Pays,
13765,ALNATURA Trauben Saft naturtrüb,
13768,M-Classic Risotto Ribe parboiled,
13814,Migros Bio Crème fraîche,
13867,ANDROS Pink Grapefruitsaft,
13871,Jamadu Apfel-Chips,
13898,COOP Qualité & Prix Baumnussbruch,
13900,coop Qualité & Prix Cashews,
13916,iglo Pazifik Wildlachsfilets,
13925,ALTANATURA Zitronen Saft 100% DIREKTSAFT,
13941,ARBI GEREINIGTE KALMARE,
14067,Migros Bio Crevetten,
14099,,
14100,Saint-Gregoire : Pinot Noir,
14111,Coop Betty Bossi Eisbergsalat,
14125,Coop naturaplan Butter,
14127,Coop Qualité & Prix Emmentaler Mild,
14133,,
14282,Alnavit Bio Cranberry Muttersaft,
14310,MIGROS BIO Chia-Samen,
14379,Emmi YoQua Nature 10% Protein ,
14391,TartufORO Condimento all' aroma di TARTUFO BIANCO a base di Olio Extravergine di Oliva,
14477,Coop Naturaplan Bio Royal Salad,
14508,HENNIEZ OHNE KOHLENSÄURE,
14518,Tee Infré Koffeinfrei,
14541,Canne grob Rohzucker aus Zuckerrohr,
14544,Mister Rice JASMIN Parfümreis,
14547,Pelican Grüne Neuseelandmuscheln Halbschalen,
14565,Salakis Natur Schafmilch Sheep's Milk,
