,name,connected_component
7403,"La Timbale, Beaujolais",38.0
7364,"Croix d'Amont, Côtes du Rhône",38.0
339,,39.0
4982,,39.0
5166,Henniez Leicht prickelnd,39.0
5134,Henniez Mineralwasser Leicht,39.0
8402,ALNATURA Basmati Reis weiß,40.0
8446,,40.0
6614,,41.0
1793,Venoge Délice au poivre noir ,41.0
6610,Fromagerie MM Bory Piment d'Espelette,41.0
6646,Fromagerie MM Bory Reblochon de la Venoge,41.0
9749,Tommes vaudoises années,42.0
9325,M-Budget Karotten,42.0
1886,,42.0
1131,Coop Himalayan Basmati Rice,43.0
5279,Coop Basmati Rice,43.0
9816,Blattspinat,44.0
9267,Blattspinat,44.0
4297,Gewürznelken,45.0
4283,Coop Qualite &Prix Nelken ,45.0
8415,M-Classic Dörrbohnen,46.0
2641,Coop Betty Bossy Grüne Bohnen,46.0
55,Tukas Tomato Paste,47.0
2918,Excelsior Triplo Concentrato Di Pomodoro,47.0
11356,Coop Qualité & Prix Swiss Alpina,48.0
11294,Coop Qualité & Prix Swiss Alpina Mit Köhlensäure,48.0
5970,Coop : Qualité&Prix : Milch : Standardisierte Vollmilch 3.5% Milchfett : UHT,49.0
6019,Coop : Qualité&Prix : Milch : Standardisierte Vollmilch 3.5% Milchfett,49.0
5966,Coop : Freeform : Milch : Lactosefrei,49.0
7778,PrixGarantie : Standardisierte Vollmilch,49.0
7678,Coop: 6 Pic-Nic Eier,50.0
13528,Coop: 10 Schweizer Eier,50.0
7701,Coop: 6 Schweizer Eier,50.0
7657,"Schweizer Eier, Extra-gross",50.0
7638,Coop Prix garanti: 10 Pic-Nic Import Eier aus Bodenhaltung,50.0
7651,"Coop: 10 Schweizer Eier, klein",50.0
7652,"Coop: 6 Schweizer Eier, gross",50.0
7727,Saladises: Salat-Eier,50.0
7728,6 französische Eier aus Bodenhaltung,50.0
9144,,50.0
4571,Sucramid : Süssungsmittel auf Grundlage von Cyclamat und Saccharin : Nachfüllpackung,51.0
4608,Sucramid : Süssungsmittel auf Grundlage von Cyclamat und Saccharin : 300 Stück,51.0
11701,coop naturaplan Orange mild,52.0
12485,,52.0
6415,Coop Naturaplan Orange Mild Doux Dolce,52.0
7732,Coop Naturaplan Bio: 4 Eier,53.0
7683,Coop Naturaplan Bio: 9 Eier,53.0
12684,Domaine Paul Autard Juline 2010,54.0
6874,"CÔTES DE PROVENCE, VAL D'AZUR Rosé AOC 2015",54.0
7340,J.P. CHENET CABERNET-SYRAH,55.0
10904,Kriter Blanc de Blancs Brut,55.0
7068,BARONE RICASOLI CHIANTI CLASSICO RISERVA ROCCA GUICCIARDA,55.0
1365,,55.0
6945,Maison Albert Bichot Bourgogne Pinot Noir Vieilles Vignes 2012,55.0
7421,,55.0
9901,Porto Cintra Vin de Porto White,55.0
2480,Cesari Jùsto Veneto 2013,55.0
3195,LOS VASCOS GRANDE RESERVE,55.0
10114,Schweizer Gemüsemischung,56.0
9813,Schweizer Erbsen mit Karotten,56.0
14091,Minestrone Schweizer Gemüsemischung,56.0
4286,Risotto Carnaroli Bio,57.0
5249,,57.0
2817,AGNESI Gli Spaghetti N3,58.0
2236,AGNESI TROFIE LIGURI le Specialitá,58.0
10269,Agnesi I Tagliolini,58.0
631,Chop Stick Sesame Oil,59.0
7520,Sabo - Geröstetes Sesamöl,59.0
5837,RUMMO  FARFALLE No 85,60.0
5936,Rummo Metodo Lenta Lavorazione Fusilli N° 48,60.0
4050,RUMMO Mezzi Rigatoni No 51,60.0
8556,CAFÉ ROYAL INDIA SINGLE ORIGIN,61.0
13185,Boncampo Classico kräftig und rassig,61.0
14138,Boncampo 100% Arabica Aromatisch und rassig,61.0
14145,UTZ Certified EXQUISITO 100% ARABICA,61.0
985,,61.0
8407,M Risotto S. Andrea Reis,62.0
8432,,62.0
8069,,63.0
7507,Sabo - Traubenkernöl ,63.0
9488,Schweizer Rhabarber ungezuckert,64.0
6335,Andros : Rhabarber geschnitten,64.0
3944,Coop Kamillentee,65.0
2418,coop PRIX Garantie Kamillentee,65.0
8122,,66.0
14529,,66.0
6510,Coop Orangensaft,67.0
14536,,67.0
13905,Coop Qualité&Prix Mineralwasser aus dem Wallis,68.0
13885,Coop Qualite & Prix Swiss Alpina,68.0
3938,Coop Mineralwasser,68.0
5883,Milaneza Aletria CAPELLINI Milaneza alimenta a imaginação,69.0
5814,Milaneza Espirais Fusilli,69.0
2509,Milananeza Meada Matassa,69.0
1369,Nescafe Gold De Luxe,70.0
1445,Nescafé Gold All'Italiana,70.0
1317,Alianca Terra Boa Red Wine 2013,71.0
7658,Adela De Favaios Muscatel Do Douro,71.0
3474,Bodegas Navarrsotillo Rioja Crianza Señorio de Arriezu 2012 ,71.0
10309,coop freefrom Drink Lactosefrei,72.0
3737,Coop Qualité & Prix Drink Tellentrahmte Milch,72.0
8470,M Budget Spaghetti,73.0
8450,M Classic Denti d'elefante,73.0
6501,,74.0
6495,Tropicana 100% Pure Pressed Oranges With Pulp,74.0
4438,Naturaplan : Azucar de Paraguay : Rohrzuckerwürfel,75.0
4660,Naturaplan : Azucar de Paraguay : Rohrzuckersticks,75.0
8905,Orangensaft,76.0
8824,Orange,76.0
7015,,77.0
7327,MATUA 2012 PINOT NOIR MARLBOROUGH NEW ZEALAND,77.0
14088,Migros Gerstengraupen,78.0
8396,Migros Rollgerste,78.0
6857,,79.0
7279,,79.0
846,Marquès de Ciria 2011,79.0
929,,79.0
6503,coop naturafarm POULET-SCHENKEL ROH,80.0
6466,COOP Qualité & Prix Poulet Ailerons,80.0
3809,Migros Mister Rice WILD RICE MIX Easy Handling,81.0
1022,M Classic Carolina Parboiled,81.0
5688,,82.0
5985,Coop Qualité & Prix Butter,82.0
2061,Coop Naturaplan Vollmilch,83.0
4488,Naturaplan : Vollmilch : 3.9% Milchfett,83.0
7400,"Coop, NaturaFarm: Frühstücks-Eier",84.0
7356,Coop NaturaFarm: 4 Eier,84.0
7426,Coop NaturaFarm: 6 Eier,84.0
7446,"Coop NaturaFarm: Pic-Nic-Eier, gekocht, gefärbt",84.0
9592,"Coop NaturaFarm: Pic-Nic-Eier, gekocht, gefärbt",84.0
7301,Coop NaturaFarm: 10 Eier,84.0
14024,Haribo Original Happy Cola,85.0
1031,Haribo Lakritz Schnecken,85.0
632,Migros Bio Spaghettini Aus Vollkorngriess,86.0
8208,Migros BIO Becs de plumes,86.0
5729,Coop Fine Food Darjeeling SFTGFOP1  Indischer Schwarztee,87.0
5626,Coop Qualité & Prix Black Tea Darjeeling,87.0
541,,88.0
941,King Solomon Dates Medjool Natural dates,88.0
3171,"Coop Qualité & Prix Drink Halbentrahmte Milch, 1.5% Milchfett",89.0
10132,Coop Qualité & Prix  Drink Teilentrahmte Milch 2.5% Milchfett,89.0
4981,Rythm 108 - banana muffin,90.0
1694,"Rhythm 108 : good-for-you, dessert bar",90.0
