,Unnamed: 0,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin E (Tocopherol),Vitamin C (Ascorbic acid),Magnesium,Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Phosphorus,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids
43,43,8.0,831.0,201.0,17.0,5.0,1.5,1.1,2.5,1.5,7613269369899,Anna's VEGI GUACAMOLE MEXICAN STYLE,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,13.0,317.0,75.0,1.0,2.0,2.5,0.5,0.5,7.0,7617027916011,MIGROS : Maiskörner Bio,Hungary,285.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45.0,2129.0,509.0,29.0,8.0,13.0,0.15,3.5,25.0,7617400037579,Tradition Vitalgebäck,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,7611654051275,Coop Qualité & Prix Sticks Gesalzen,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,75.0,1275.0,300.0,0.5,0.5,0.0,0.01,0.1,75.0,4104420024441,Alnatura Bio Feine Blüte,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,11.0,590.0,141.0,6.0,1.5,10.0,0.8,2.5,1.0,7610849657766,Coop Betty Bossi Lasagne Alla Bolognese,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,42.0,1079.0,256.0,6.0,2.5,7.0,1.6,2.5,6.0,8410076472366,Pancho Villa Extra Mild Fajita Kit,,476.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,19.0,538.0,128.0,2.5,2.5,6.0,0.9,0.6,1.5,7613312027240,,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,55.0,2270.0,543.0,32.0,3.5,7.0,0.15,16.0,53.0,7616500654181,Frey - Classic Branches,,1620.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,,,,,,,,,8410032004440,,,112.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,1.0,1100.0,266.0,24.0,,12.0,,,,7610200243911,M-Budget Lyoner,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,23.2,432.0,102.0,0.1,,1.2,1.8,,22.8,87157116,Heinz Tomato Ketchup,,300.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,,,,,,,,,8690508101310,Tukas Tomato Paste,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,8.0,316.0,76.0,3.5,2.0,2.0,0.85,0.9,3.0,7613312065969,Namaste India Yellow Dal Mungbohnen mit Gewürzen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,55.7,970.0,228.0,0.1,,0.4,2.98,,43.6,5011308000703,PATAK'S THE Original MANGO CHUTNEY MILD,,340.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,1.0,2090.0,500.0,51.0,,11.0,,,,7610011001816,Bell Mettwurst,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,4.6,82.0,19.0,0.0,,0.0,0.04,,4.6,5449000012913,Nestea Lemon,,330.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,7617014168720,Café Royal Switzerland Espresso Intensive,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,9.0,2570.0,615.0,52.0,6.0,26.0,0.0,5.0,4.0,7613331141835,Coop Naturaplan Sonnenblumenkerne geschält,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,8.0,467.0,110.0,2.0,0.5,15.0,1.7,0.7,2.5,7617027762021,Migros Wildschweinpfeffer,,600.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,62.3,2069.0,494.0,24.4,,5.5,0.4,14.5,55.2,5000159475358,CelEBraTioNs,,190.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,57.0,2000.0,479.0,24.0,3.5,7.0,0.2,7.0,36.0,7617400031454,Migros Taragona Gefülltes Haselnuss - Makronen - Gabäck,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,50.0,884.0,208.0,0.5,2.0,0.5,0.06,0.0,41.0,7613269196440,Preiselbeeren,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,,,,,,5038862236683,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,,,,,,7610973189331,Les Grands Dignitaires Le Tabellion Humagne Rouge Du Valais AOC 2010,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,7.0,730.0,175.0,12.0,3.5,8.0,5.5,0.8,2.0,7616700143416,Reine Dijon Original Dijon-Senf scharf,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,64.0,2070.0,494.0,24.0,2.0,4.5,3.3,2.0,5.0,7610095122001,,,75.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,14.0,420.0,100.0,3.0,0.0,4.0,,2.0,14.0,7610849458059,Coop Naturaplan Bio Saison Jogurt Kirche-Holunderbeere,,180.0,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,4.0,690.0,168.0,15.5,0.0,3.0,0.1,9.4,4.0,22140579,Valflora coffee cream,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,0.5,3050.0,730.0,82.0,,0.5,,,,7610807069525,COOP naturaplan butter,,60.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,55.0,2323.0,557.0,33.0,,8.1,0.19,13.0,38.0,7614800250003,Kambly Mandelcaramel,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,29.0,947.0,226.0,9.0,,6.5,1.1,3.1,2.9,4001724420101,Dr.Oetker Bistro Classique Baguette Champignon,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,,,,,,,,,0734756000068,Stubb's Smokey Mesquite,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,28.0,797.0,189.0,4.0,2.5,9.0,0.95,1.5,1.5,7617027956376,M Budget Tortellini Fleisch,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,,,,,,,,,7616700226140,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,,,,,,,,,3351650008968,Georges Dubœuf Pouilly-Fuissé 2014,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,15.0,817.0,195.0,9.0,1.0,13.0,0.95,3.0,2.0,7613312059197,Migros Bio Fischstäbchen Pangasius,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,,,,,,,,,3760111814015,Chateau Haut-Bergey Pessac-Léognan 2011,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,14.0,2480.0,596.0,45.0,3.5,32.0,0.0,5.0,5.0,7610200303394,Pinienkerne,Spain,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,60.0,2030.0,485.0,24.0,,5.7,2.7,2.3,1.8,4000522005039,Chio Jumpys Sunny Paprika,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,,1080.0,258.0,,,,,,,7610845105827,coop freefrom Mozzarella Lactosefrei,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,9.0,160.0,37.0,0.0,,0.0,0.03,0.0,9.0,7610097111294,rivella DAS ORIGINAL,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,3.0,,,17.0,0.5,13.0,1.7,6.0,1.5,7610200098641,Optigal Gefügel cervelas,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,,,,,,,,,,3021760400012,,,90.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,2.5,550.0,132.0,7.0,1.0,14.0,0.9,1.0,1.0,7610849872121,Coop Tomato Bio Tofu Karma mariniert mit Tomaten und Peperoni,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,78.0,1578.0,372.0,1.5,4.8,9.3,1.0,0.3,11.9,5053827110624,KELLOGG'S : Special K Classic,EU,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,13.4,821.0,198.0,13.8,2.7,2.8,1.62,7.1,13.0,4006099655608,Feinkost Dittmann Pepper Bals Curry Ananas,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,,,,,,,,,,3760020095208,Les Tourelles de Longueville Pauillac 2012,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,55.0,2360.0,565.0,35.0,1.0,7.0,0.08,24.0,46.0,7611654606840,Coop Qualité & Prix Yogourt Fraise,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,65.0,1464.0,346.0,1.5,6.0,15.0,0.01,0.5,1.5,7610200298218,"MIGROS BIO Bauernmehl mit Weizen, Dinkel und Roggen",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,12.0,223.0,53.0,0.1,0.8,0.5,0.0,0.0,12.0,3608580004691,Andros Multifrucht Exotic,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,61.0,1450.0,347.0,3.5,10.0,12.0,0.03,0.5,0.5,7610800975236,5-Korn-Flocken,"Schweiz, Europa",500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,27.0,649.0,154.0,2.5,1.5,5.0,0.96,0.2,0.5,7613269577591,Migros Bio Kräuterspätzli,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,6.0,360.0,87.0,6.0,1.0,1.0,0.89,3.0,0.9,7613269299257,Bon Chef Morchelsauce,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,80.0,1573.0,371.0,1.0,5.0,8.0,1.0,0.5,4.0,7613269234210,Migros Bio Cornflakes,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,0.0,3404.0,828.0,92.0,0.0,0.0,0.0,7.0,0.0,7617027020596,Rapsöl,,,g,,6.0,24.0,,56.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,13.0,220.0,52.0,0.0,,0.0,0.05,,10.0,7618500948345,Biotta VITA 7,,,ml,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
100,100,3.0,330.0,77.0,0.0,,10.0,17.0,0.0,0.6,8715035110502,Kikkoman : Sojasauce,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,5.9,191.0,45.0,1.2,,2.8,0.0,0.5,5.9,7640145770494,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,34.0,602.0,142.0,0.0,1.5,0.7,0.07,,34.0,7613312036181,Migros Extra Fit & Well Aprikosen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
