,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
30,52.0,568.0,37.0,6.1,7610400072878,"['sucre', 'beurre de cacao', 'lait entier en poudre', 'beurre laitier concentré', 'pâte de cacao', 'lait écrémé en poudre', 'lactose', 'flocons de noix de coco 0', 'émulsifiant', 'lécithine de soja', 'cacao maigre en poudre', 'arômes', ""extrait de malt d'orge"", 'peut contenir des noisettes', ""des amandes et d'autres fruits à coque"", 'le chocolat au lait contient cacao', 'min', 'matière sèche de lait', 'min']",Lindt Chocoletti Summer Edition Swiss Milk Chocolate with coconut filing
32,,,,,7610848704638,"['eau', ""malt d'orge"", 'malt de froment', 'houblon', 'levure']",FRI-MOUSSE BARBEBLANCHE
33,14.0,95.0,3.0,3.0,22016072,"['yogourt', 'lait', 'protéines du lait', 'sucre 8', 'ananas', 'amidon modifié de maïs cireux', 'arôme']",
34,4.0,57.0,0.0,10.3,5201054015681,"['lait écrémé', 'ferments lactiques vivants']",FAGE Total 0%
35,72.1,354.0,1.5,12.0,5201193106028,"['semoule de blé dur', 'eau']",Melissa Barley Wholesale
36,59.0,241.0,0.1,0.05,3608580006046,"['abricots', 'sucre', 'sucre roux de canne', 'jus de citron concentré', 'gélifiant', 'pectine de fruits', 'sans gluton', 'malgré tous nos soins', 'cette confiture peut contenir des noyaux']",Bonne Maman Konfitûre extra Aprikosen
37,80.0,361.0,0.5,7.0,7613331012838,['riz'],"coop FINE FOOD Spanischer Paella-Reis ""Bomba"""
38,11.0,50.0,0.0,0.7,3182280072155,"['eau de source', 'jus de fruits à base de concentrés 25', 'pêche 12', 'abricot 12', 'lait écrémé 16', 'sucre', 'stabilisant', 'pectine de fruit', 'acidifiant', 'acide citrique', 'colorant', 'ß', 'carotène', 'dont soja', 'arômes']",DANAO PFIRSICH APRIKOSE
39,1.6,22.0,1.1,1.2,7613034365774,"['lait entier en poudre', '73', 'café soluble', 'stabilisants', 'phosphates de potassium', 'citrates de sodium', 'émulsifiant', 'lécithine de soja']",NESCAFÉ Dolce Gusto CAFÉ CON LECHE
40,,,,,7611828151992,['sulfites'],Coteaux Du Haut-Léman Noble Terre Chardonne
41,,,,,7613331680679,"['fruits séchés', 'prunes', 'poires', 'abricots', 'pêches', 'pommes', 'conservateurs', 'e 202', 'e 220', 'sulfite']",
43,8.0,201.0,17.0,1.5,7613269369899,"['avocat hass', 'tomates', 'oignons', 'sel de cuisine', 'antioxydant', 'acide ascorbique', 'épaississant', 'gomme xanthane et e401', 'sucre', 'épice']",Anna's VEGI GUACAMOLE MEXICAN STYLE
44,13.0,75.0,1.0,2.5,7617027916011,"['maïs', 'hongrie', 'eau', 'sel de cuisine', 'de production biologique étrangère']",MIGROS : Maiskörner Bio
48,11.0,141.0,6.0,10.0,7610849657766,"['eau', 'semoule de blé dur', 'viande de bœuf', 'viande de porc', 'pule de tomates', 'fromage', ""œufs d'élevage au sol"", 'protéines lactiques', 'purée de tomates', 'farine de froment', 'beurre', 'oignons', 'sel de cuisine', 'fibres végétale', 'citrus', 'amidon de  maïs', ""extraits d'épices"", ""huile d'olive"", 'épices', 'herbes aromatiques', 'sucre']",Coop Betty Bossi Lasagne Alla Bolognese
49,42.0,256.0,6.0,7.0,8410076472366,"['farine de blé', 'eau', 'stabilisant', 'glycérol', 'huile de tournesol', 'émulsifiant', 'mono', ""et diglycérides d'acides gras"", 'dextrose', 'poudre à lever', 'carbonate acide de sodium', 'diphosphate disodique', 'sel de cuisine', 'concentré de tomates', 'eau', 'crème', 'sucre', 'huile de tournesol', 'arômes', 'arôme de fumée', 'jus de citron concentré', 'sel de cuisine', 'épices', 'amidon de maïs modifié', 'oignon en poudre', 'ail en poudre', 'coriandre', ""correcteur d'acidité"", 'acide citrique', 'sel de cuisine', 'maltodextrine', 'sucres', 'arômes', 'contient orge', 'moutarde', 'oignon en poudre', 'ail en poudre', 'fructose', 'persil', ""correcteur d'acidité"", 'acide citrique', 'épices', 'stabilisant', 'gomme arabique']",Pancho Villa Extra Mild Fajita Kit
50,19.0,128.0,2.5,6.0,7613312027240,"['pâtes cuites', 'semoule de blé dur', 'eau', 'tomates', 'eau', 'produit à base de viande de bœuf', 'viande de bœuf', 'sel de cuisine', 'oignons', 'carottes', 'concentré de tomates', 'huile de colza', 'vin', 'amidon de  maïs modifié', 'sel de cuisine', 'extrait de bœuf', 'ail', 'bouillon de bœuf', 'avec jus de citron concentré et extrait de vin', 'fines herbes', ""extraits d'épices""]",
51,55.0,543.0,32.0,7.0,7616500654181,"['sucre', 'éclats de noisettes et noisettes moulues', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'cacao en poudre', 'huile de coco', 'huile de palme et de palmiste', 'en proportion variable', 'amandes moulues', 'émulsifiant', 'lécithine de soja', 'arômes', 'pistaches', 'noix']",Frey - Classic Branches
53,1.0,266.0,24.0,12.0,7610200243911,"['viande de porc', 'eau', 'lard', 'couennes', 'sel nitrité pour saumure', 'sel de cuisine', 'conservateur', 'e 250', 'mélange de condiments', 'contient moutarde', 'pistaches', 'lait écrémé', 'maltodextrine', 'antioxydant', 'acide citrique', 'stabilisant', 'e 452']",M-Budget Lyoner
54,23.2,102.0,0.1,1.2,87157116,"['tomates', '148 g pour 100 g de tomato ketchup', 'vinaigre', 'sucre', 'sel', ""extraits d'épices et d'herbes"", 'contiennent du céleri', 'épicé']",Heinz Tomato Ketchup
55,,,,,8690508101310,['tomates'],Tukas Tomato Paste
56,8.0,76.0,3.5,2.0,7613312065969,"['eau', 'haricots mungo', 'tomates', 'oignons', 'épices', 'huile de riz', 'sucre', 'ail', 'extrait de levure', 'sel de cuisine', 'coriandre']",Namaste India Yellow Dal Mungbohnen mit Gewürzen
57,55.7,228.0,0.1,0.4,5011308000703,"['sucre', 'mangue', 'sel', 'acide acétique', 'épices', 'graines de cumin', 'piment rouge séché concassé', 'extrait de paprika']",PATAK'S THE Original MANGO CHUTNEY MILD
58,1.0,500.0,51.0,11.0,7610011001816,"['lard', 'viande de bœuf', 'viande de porc', 'sel nitrité', 'sel de cuisine', 'conservateur', 'e250', 'épices', 'sel de cuisine iodé', 'dextrose', 'sucre', 'sirop de glucose', 'antioxydants', 'e300', 'e301', 'extrait de levure', 'rhum', 'colorant', 'e 160c']",Bell Mettwurst
59,4.6,19.0,0.0,0.0,5449000012913,"['eau', 'sucre', 'fructose', 'acidifiant acide citrique et acide malique', 'extrait de the', '1g/l / 0', 'jus de citron à base de concentré', '0', 'arômes naturels', ""correcteur d'acidité citrates de sodium"", 'antioxidant acide ascorbique', 'edulcorant glycosides de steviol', 'pasteurisé']",Nestea Lemon
61,9.0,615.0,52.0,26.0,7613331141835,['graines de tournesol bio'],Coop Naturaplan Sonnenblumenkerne geschält
62,8.0,110.0,2.0,15.0,7617027762021,"['sanglier', 'eau', 'vin rouge', 'avec conservateur', 'anhydride sulfureux', ""alcool s'évapore en grande partie lors de la préparation"", 'maltodextrine', 'amidons partiellement modifiés', 'maïs', 'pommes de terre', 'tapioca', 'blé', 'vinaigre de vin rouge', 'petits oignons', 'chanterelles', 'champignons de paris', 'sucre', 'sirop de glucose', 'glucose', 'sucre de betterave', 'sucre de canne brut', 'sauce caramel', 'colorant', 'caramel ordinaire', 'sel de cuisine', 'protéine de soja', 'épices', 'contiennent céleri', 'genièvre', 'concentré de tomate', 'huile de colza', 'antioxydant', 'acide citrique', 'exhausteur de gout', 'glutamate monosodique']",Migros Wildschweinpfeffer
63,62.3,494.0,24.4,5.5,5000159475358,"['sucre', 'sirop de glucose', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'beurre concentré', 'lait', 'lactose', 'matière grasse de palme', 'cacahuètes', 'noix de coco séchée', 'farine de blé', 'petit', 'lait en poudre', 'huile de tournesol', 'lait entier en poudre', 'lait écrémé concentré', 'émulsifiants', 'lécithine de soja', 'e471', ""extrait de malt d'orge"", 'cacao maigre', 'sel', 'humectant', 'glycérol', ""blanc d'œuf en poudre"", 'extrait naturel de vanille', 'poudres à lever', 'e341', 'e500', 'e501', 'protéine de lait', 'peut contenir', 'noisette']",CelEBraTioNs
64,57.0,479.0,24.0,7.0,7617400031454,"['sucre', 'farine de blé', 'noisettes', 'huiles végétales', 'palme', 'colza', 'tournesol', 'pâte de cacao', 'humectant', 'sorbitol', 'sirop de sucre inverti', 'sirop de glucose', 'fructose', ""pulpe d'abricots"", 'beurre de cacao', ""blanc d'oeuf en poudre"", ""d'élevage au sol"", 'lait écrémé en poudre', 'épice', 'beurre concentré', 'oeuf entier en poudre', ""d'élevage au sol"", 'amidon de pommes de terre', 'poudres à lever', 'e 503', 'e 500', 'sel de cuisine', 'conservateur', 'e 202', 'gélifiant', 'pectine', 'acidifiant', 'acide citrique', 'levure', 'arômes naturels', 'émulsifiant', 'lécithines de soja', 'jus de citron en poudre', ""extrait de malt d'orge"", 'lait concentré']",Migros Taragona Gefülltes Haselnuss - Makronen - Gabäck
65,50.0,208.0,0.5,0.5,7613269196440,"['airelles rouges', 'sucre', 'jus de citron à partir de concentré', 'gélifiant', 'pectine']",Preiselbeeren
68,7.0,175.0,12.0,8.0,7616700143416,"['eau', 'graines de moutarde', 'vinaigre de table', 'sel de cuisine', 'acidifiant', 'acide citrique']",Reine Dijon Original Dijon-Senf scharf
69,64.0,494.0,24.0,4.5,7610095122001,"['amidon de pomme de terre', 'farine de pomme de terre', 'huile de tournesol', 'farine de riz', 'farine de froment', 'condiment en poudre', 'maltodextrine', 'sucre', 'exhausteur de saveur', 'e621', 'e627', 'e631', 'sel marin', 'oignon en poudre', 'colorant', 'extrait de paprika', 'sel', 'arômes naturels']",
70,14.0,100.0,3.0,4.0,7610849458059,"['lait', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et érique du sud', 'cerises', 'jus de sureau à base de concentré', 'protéines lactiques', 'fècule de manioc', 'concentré de jus de citron']",Coop Naturaplan Bio Saison Jogurt Kirche-Holunderbeere
71,4.0,168.0,15.5,3.0,22140579,"['crème à café stabilisants', 'e340 et e452']",Valflora coffee cream
72,0.5,730.0,82.0,0.5,7610807069525,"['beurre bio', 'de crème bio pasteurisée']",COOP naturaplan butter
