,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
4542,17.0,74.0,0.0,0.5,7610800005940,"['pêches', 'eau', 'sucre', 'acidifiant', 'e330']",Pfirsichhalften
4543,13.1,57.0,0.0,0.3,0024000001669,"['ananas', ""jus d'ananas""]",DelMonte : Ananas Scheiben : In Saft
4544,100.0,407.0,0.0,0.0,7610827494567,['sucre'],Glückszucker
4546,89.0,361.0,0.0,0.0,7610809101896,"[""sirop d'érable bio"", 'canada']",naturaplan bio Ahornsirup
4548,29.7,184.0,5.3,3.8,3487400000910,"['riz long grain précuit à la vapeur', 'tomates', '7', 'purée de tomates', '6', 'mascarpone', 'de lait', ""huile d'olive"", '2', 'tomates en poudre', 'arôme naturel', 'sel', 'ail', 'huile de tournesol', 'oignons', 'oignons en poudre', 'épices']",Uncle Ben's : Italienisch mit Mascarpone
4549,31.0,156.0,1.8,3.7,5010034517004,"['riz basmati précuit à la vapeur', 'huile de tournesol', 'sel']",Uncle Ben's : Basmati-Reis
4550,30.7,165.0,2.6,3.7,3487400002181,"['riz complet étuvé', 'huile de tournesol', 'arôme naturel', 'contient du céleri', 'sel']",Uncle Ben's EXPRESS VOLLREIS
4551,14.0,54.0,0.0,0.0,7610827846892,"['ananas', ""jus d'ananas""]",Prix Garantie Ananas-Scheiben
4552,15.4,71.0,0.5,0.5,3021761203162,"['pomme 75', 'mirabelle 20', 'sucre', 'arôme naturel', 'jus de citron concentré', 'antioxydant', 'acide ascorbique']",Materne : Pom'Potes : Pomme Mirabelle
4553,71.7,359.0,2.0,12.0,8076802085714,"['semoule de blé dur', 'eau']",Barilla : Penne Lisce : n.71
4554,19.6,129.0,2.8,4.9,8076809544078,"['pâtes de semoule de blé dur cuites', 'eau', 'pâtes de semoule de blé dur 25', 'sel', 'pulpe de tomates', 'fromage ricotta 4', 'lactosérum', 'crème', 'lait', 'concentré de tomates 2', 'oignons', 'huile de tournesol 1', 'fromage grana padano pdo', 'lait', ""lysozyme d'oeuf"", 'persil 0', 'ail', 'amidon de maïs', 'sel', 'sucre', 'arôme naturel', 'lait', 'arôme naturel basilic']",Barilla : Gemelli Pomodoro E Ricotta (Tomatensosse und Ricotta)
4555,13.0,56.0,0.0,0.0,7610846827292,"['ananas', ""jus d'ananas""]",Weight Watchers : Ananas-Scheiben
4556,25.0,171.0,5.7,4.1,7611100429467,"['riz', 'fromage fondue', 'parmesan', 'mozzarella', 'stilton', 'cheddar', 'produit de petit lait', 'maltodextrine', 'extrait de levure', '1', 'oignons', 'sel comestible iodé', 'huile de tournesol', 'persil', 'curcuma', 'poivre']",Knorr : Risotto : Parmesan
4557,30.7,144.0,0.9,3.0,5010034514003,"['riz long grain précuit à la vapeur', 'huile de tournesol', 'sel']",Uncle Ben's : Spitzen-Langkorn-Reis
4558,5.0,53.0,3.0,1.0,7613312052037,"['jus de tomate à  partir de concentré', 'eau', 'tomates', 'crème acidulée', 'carottes', 'oignons', 'poivrons', ""huile d'olive"", 'vin blanc', 'beurre', 'céleri', 'amidon de maïs modifié', 'sucre', 'ail', 'sel de cuisine', 'lait entier en poudre', 'bouillon végétal fines herbes', 'jus de citron concentré', 'épaississant', 'gomme xanthane', ""extraites d'épices""]",Tomatencrèmesuppe
4559,29.9,159.0,2.6,3.6,5010034514201,"['riz long grain précuit à la vapeur', 'poivrons rouges', '8', 'purée de tomates', '5', 'arôme naturel', 'contient du céleri', 'huile de tournesol', 'tomates', 'sel', 'sucre', 'piments jalapeno', '0', 'épices', 'oignons en poudre', '0', 'ail en poudre']",Uncle Ben's : Mexikanisch
4561,17.0,74.0,0.0,0.5,7610800005841,"['fruits', 'pêches', 'poires', 'raisins', 'ananas', 'cerises', 'avec colorant', 'e127', 'eau', 'sucre', 'acidifiant', 'e330']",Fruchtcocktail
4562,15.0,65.0,0.1,0.4,0024000024675,"['fruits', 'pêches', 'poires', 'ananas', 'raisins', 'cerises avec colorant e127', 'eau', 'sirop de glucose', 'fructose', 'sucre', ""correcteur d'acidité"", 'acide citrique']",DelMonte : Fruchtcocktail : Leicht Gezuckert
4563,11.0,53.0,0.0,1.0,7610800027874,"['bettraves rouges', 'eau', ""vinaigre d'alcool"", 'sucre', 'sel de cuisine', ""extraits d'épices""]",Radensalat
4565,53.0,493.0,24.0,14.0,7613356196346,"['semoule de mais', 'cacahuètes', 'huile de tournesol', 'sel de cuisine']",Flips
4567,3.5,22.0,1.0,2.0,7610827338243,"['haricots verts', 'eau', 'sel de cuisine iodé', 'acidifiant', 'e330']",Prix Garantie : Bohnen
4568,0.0,0.0,0.0,0.0,7610211010304,"['1 comprimé contient 11', '8mg de saccharine sodique', 'édulcorant']",Hermesetas : Mini Sweeteners : 1200 tabletten
4569,26.0,122.0,0.6,2.6,7611100350877,"['riz', 'légumes', '8', 'tomate déshydratée', 'oignons', 'tomates', 'maltodextrine', 'huile de palme', 'sel comestible iodé', 'extrait de levure', 'ail']",Knorr : Risotto : Tomato
4570,9.0,57.0,0.5,2.5,7610800001270,"['légumes', 'carottes', 'pommes de terrre', 'haricots verts', 'petits pois', 'eau', 'sel de cuisine']",Russischer Salat
4571,0.0,29.0,0.0,0.0,7610849110384,"['édulcorants', 'cyclamate', 'e952', '40mg/sucrette', 'saccharine', 'e954', '4mg/sucrette', 'carbonate de sodium', 'e500ii', 'citrate de sodium', 'e331i']",Sucramid : Süssungsmittel auf Grundlage von Cyclamat und Saccharin : Nachfüllpackung
4572,99.0,402.0,0.0,0.0,7610849910144,"['édulcorant', 'xylitol', 'e967']",Xylit : Süssungsmittel aus Birke und Buche
4573,0.0,7.0,0.0,1.7,7610211024004,"['agent de charge carbonates de sodium', 'édulcorant glycosides de stéviol', ""correcteur d'acidité citrates de sodium"", 'support l', 'leucine', 'arôme']",Assugrin : Stevia Sweet : 200 Tabletten
4575,8.0,36.0,0.0,0.5,7610846832562,"['fruits', 'pêches', 'poires', 'raisin', 'ananas', 'cerises', 'avec colorant', 'e127', 'eau', 'fructose de pêche et de pomme', 'acidifiant', 'e330']",WeightWatchers : Fruchtcocktail
4577,30.7,170.0,3.4,3.4,5010034521001,"['riz long grain précuit à la vapeur', 'carotte', '5', 'poivron rouge', '5', 'huile de tournesol', 'épinards', 'réhydrates', 'jus de citron', 'épices', '0', 'extrait e levure', 'oignons en poudre', 'sel', 'coriandre', 'oignon', 'graines de cumin', '0', 'curry en poudre', '0']",Uncle Ben's : Indisch
4578,0.0,407.0,37.0,18.0,8410032002361,"['thon blanc', ""huile d'olive et sel de cuisine""]",Albo Weisse Thunfischfilets
4580,46.0,243.0,2.3,8.6,9032400019109,"['farine de blé', 'eau', 'levain de blé', 'farine de blé', 'eau', 'levure', 'sel de table', 'sucre', 'huile de colza', ""farine de malt d'orge""]",Super Sandwich
4581,0.5,211.0,3.0,41.0,2107741009052,"['viande de boeuf', 'condiment en poudre', 'sel de cuisine', 'céleri', 'poireaux', 'oignons', 'persil', 'ail', 'thym', 'livèche', 'romarin', 'épices', 'sirop de glucose', 'sucre', ""poudre d'acérola sur maltodextrine"", 'plantes aromatiques', 'rose trémière', 'mauve', 'bleuet', 'souci', 'dextrose', 'conservateur', 'e252']",Naturaplan : Hobelfleisch
4582,13.8,59.0,0.1,0.3,7610800005780,"['ananas', ""jus d'ananas""]",Ananas-Scheiben : 10 Scheiben
4583,51.0,546.0,35.0,5.0,7616800905624,"['pommes de terre', 'huile de tournesol', 'sel de cuisine']",MClassic : Nature : Pomme Chips
4584,15.0,67.0,0.0,0.5,7610848337010,"['mangue', 'thaïlande', 'eau', 'sucre', 'acidifiant', 'e330']",Mango : Scheiben
4585,14.0,60.0,0.1,0.2,0024000027584,"['poires', 'eau', 'sucre', ""correcteur d'acidité"", 'acide citrique']",DelMonte : Brinen Halbe Frucht : Leicht Gezuckert
4586,0.1,383.0,31.0,26.0,7610200027535,"['gruyère aop', 'fromage suisse à pâte dure', 'gras', 'au lait cru', 'raclette', 'fromage suisse à pâte mi', 'dure', 'gras', 'à base de lait pasteurisé']",Tradition : Fondue
4587,,0.0,,,7640115251299,['eau minérale naturelle légèrement gazéifiée'],Swiss Alpina : Wenig Kohlensäure
4588,100.0,40.0,0.0,0.0,7610849690534,"['sucre de canne blanc', 'swaziland']",Rohrzucker weiss
4589,26.0,168.0,5.3,3.8,7611100373319,"['riz', 'farine de riz', 'sel comestible iodé', 'huile de palme', 'extrait de levure', '1', 'bolets', 'bolets beurrés', 'bolets edulis', 'oignons', 'ail déshydraté', 'curcuma', 'acidifiant', 'acide ascorbique']",Knorr : Risotto : ai Funghi
4590,,,,,3174660107465,['pure canne'],Béghin Say : La Perruche : Brauner Rohrzucker
4591,100.0,407.0,0.0,0.0,7610800011910,['sucre'],Würfelzucker : Economy-Pack
4592,65.0,489.0,21.0,8.0,7613312032138,"['farine de blé', 'beurre', 'sucre de canne brut', 'sucre', 'amidon de blé', 'cacao en poudre', 'oeuf entier', ""d'élevage en plein air"", 'sel de cuisine', 'poudre à lever', 'e500', 'arôme naturel', ""malt d'orge""]",Bango Biscuits
4593,13.8,59.0,0.1,0.3,7610800005797,"['ananas', ""jus d'ananas""]",Ananas-Scheiben : 4 Scheiben
4596,12.0,50.0,0.0,0.0,7613331270221,"['fruits', 'ananas', 'thaïlande', 'papaye', 'thaïlande', 'goyave', 'thaïlande', 'jus de fruits', 'ananas', 'thaïlande', 'fruits de passion', 'thaïlande']",Tropical Mix
4597,4.3,18.0,0.5,0.5,7611900015266,"['eau', 'sucres', 'sucre', 'fructose', 'extrait du thé noir', '1', '2g/l', 'acidifiant', 'acide citrique', 'jus de citron à base de concentré', '0', ""correcteur d'acidité"", 'e331', 'arôme', 'antioxydant', 'acide ascorbique', 'édulcolorant', 'glycosides de stéviol']",Lipton : Ice Tea : Lemon
4601,,,,,7610032001000,"['jus de citron concentré', 'conservateur', 'métabisulfite de potassium']",Limonina : Zitronensaft
4603,13.0,96.0,3.0,4.0,7610809038734,"['lait entier', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'framboises', 'pologne', 'serbie', 'bulgarie', 'protéines lactiques', 'fécule de manioc']",Naturaplan : Jogurt : Himbeere
4604,14.0,100.0,3.0,4.0,7610849968046,"['lait entier', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'pulpe de mangue', 'inde', 'dés de mangue', 'sri lanka', 'protéines lactiques', 'fécule de manioc', 'concentré de jus de citron']",Naturaplan : Jogurt : Mango
4605,13.0,124.0,6.0,4.5,7610809012093,"['lait entier', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'noisettes', 'fécule de manioc', 'concentré de jus de citron']",Naturaplan : Jogurt : Haselnuss
4606,17.0,74.0,0.0,0.5,7610800005858,"['fruits', 'pêches', 'poires', 'raisins', 'ananas', 'cerises', 'avec colorant', 'e127', 'eau', 'sucre', 'acidifiant', 'e330']",Fruchtcocktail
4607,14.0,100.0,3.0,4.0,7610827600913,"['lait entier', 'homogénéisé', 'pasteurisé', 'myrtilles', 'scandinavie', 'ukraine', 'pologne', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'protéines lactiques', 'fécule de manioc']",Naturaplan : Jogurt : Heidelbeere
4608,0.0,29.0,0.0,0.0,7610849101870,"['édulcorants', 'cyclamate', 'e952', '40mg/sucrette', 'saccharine', 'e954', '4mg/sucrette', 'carbonate de sodium', 'e500ii', 'citrate de sodium', 'e331i']",Sucramid : Süssungsmittel auf Grundlage von Cyclamat und Saccharin : 300 Stück
4610,5.0,55.0,3.0,1.0,7613356059443,"['gemüse', 'peperoni', 'zucchetti', 'auberginen', 'zwiebeln', 'tomaten', 'wasser', 'tomatensaft', 'olivenöl', 'tomatenpüree 2', 'kochsalz jodiert', 'knoblauch', 'wachsmaisstärke', 'zucker', 'kräuter', 'pfeffer', 'verdickungsmittel', 'e415']",Coop Ratatouille
4611,97.0,395.0,0.0,0.0,7610302442625,"['sucre de canne brut', 'île maurice']",Rohzucker gemahlen : Rohzucker aus Zuckerrohr
4613,62.0,251.0,0.0,0.0,7616800101088,"['sucre', 'fraises', 'acidifiant', 'acide citrique', 'gélifiant', 'pectine']",Migros Extra Konfitüre Erdbeeren
4614,58.4,533.0,30.3,5.6,0039047017962,"['farine de blé', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'beurre', 'lait', 'sucre', 'sel']",Walkers : Pure Butter : Mini Shortbread Fingers
4615,15.0,103.0,3.0,4.0,7610846189345,"['lait entier', 'homogénéisé', 'pasteurisé', 'mûres', 'bulgarie', 'serbie', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'protéines lactiques', 'fécule de manioc', 'extrait de vanille', 'madagascar', 'comores']",Naturaplan : Jogurt : Brombeere
4616,0.0,900.0,100.0,0.0,7611690701042,"['huile de colza suisse', 'huile de poisson', 'afrique', 'vitamines a', 'd']",Sabo : RapsPlus : Rapsöl
4617,0.5,830.0,92.0,0.5,7615200010198,"['huiles et graisses végétales', 'colza', 'palme', 'arômes', 'antimoussant', 'e900']",Sais : Friture 100
4618,15.0,103.0,3.0,4.0,7610848619154,"['lait entier', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'purée de bananes', 'costa rica', 'protéines lactiques', 'fécule de manioc', 'concentré de jus de citron']",Naturaplan : Jogurt : Banane
4619,14.0,100.0,3.0,4.0,7610800966111,"['lait entier', 'homogénéisé', 'pasteurisé', 'sucre de canne brut', 'amérique centrale et amérique du sud', 'fraises', 'pologne', 'protéines lactiques', 'fécule de manioc', 'concentré de jus de citron']",Naturaplan : Jogurt : Erdbeere
4620,83.0,340.0,0.0,0.5,7610800009603,['fécule de pomme de terre'],
4621,14.0,65.0,,0.5,7610849274888,"['purée de mangues bio', 'inde']",Naturaplan : Mangopüree
4622,6.6,581.0,62.0,1.5,7611100067591,"['épices', 'oignons', 'graines de moutarde', 'poivre noir', 'poivre de cayenne', 'maltodextrine', 'sucre', 'exhausteur de goût', 'glutamate monosodique', 'fines herbes', 'persil', 'ciboulette', 'origan', 'sel comestible', 'huile de tournesol']",Kross : Herbmix : Kräuter
4623,0.0,813.0,92.0,0.0,7610849658237,"['huile de tournesol high oleic bio', 'roumanie', 'hongrie']",Naturaplan : Bratöl
4624,0.0,900.0,100.0,0.0,7615200010082,"['graisse animale', 'beurre fondu', 'huile de colza', 'colorant', 'caroténoïdes']",Sais : Astra 10
4625,67.0,368.0,3.0,15.0,7610849861200,"['semoule de blé dur', 'canada', 'etats', 'unis', 'œufs pasteurisés 13', ""tous les ingrédients agricoles sont issus de l'agriculture biologique""]",Coop Naturaplan Hörnli
4626,58.2,529.0,30.0,5.6,0039047001404,"['farine de blé', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'beurre', 'lait', 'sucre', 'sel']",Walkers : Pure Butter : Shortbread Rounds
4628,58.4,533.0,30.3,5.6,0039047001107,"['farine de blé', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'beurre', 'lait', 'sucre', 'sel']",Walkers : Pure Butter : Shortbread
4629,14.4,68.0,0.5,0.5,3021761203100,"['pomme 72', 'fraise 21', 'sucre', 'cassis', 'antioxydant', 'acide ascorbique']",Materne : Pom'Potes : Pomme Fraise
4630,17.0,74.0,0.0,0.5,7610827516849,"['fruits', 'pêches', 'poires', 'ananas', 'raisins', 'cerises', 'avec colorant', 'e127', 'eau', 'sucre', 'sirop de glucose', 'fructose', 'antioxydant', 'e300', ""correcteur d'acidité"", 'e330']",Prix Garantie : Fruchtcocktail
4631,15.0,67.0,0.0,0.5,7610807122824,"['pommes', 'sucre de canne brut', 'amérique du sud']",naturaplan bio APFELMUS GEZUCKERT
4632,17.0,77.0,0.0,0.5,7611654464341,"['pommes', 'sucre', 'acidifiant', 'e330', 'antioxydant', 'e300']",Apfelmus
4633,18.0,84.0,0.5,0.5,7611654472261,"['pommes', 'sucre', 'sirop de glucose', 'fructose', 'acidifiant', 'e330', 'antioxydant', 'e300']",Prix Garantie : Apfelmus
4634,3.8,279.0,17.0,8.3,7614200110211,"['pois chiches gonflés', 'pois chiches cassés et décortiqués', 'chana dal', 'eau', 'huile de colza', 'vinaigre de vin blanc', 'légumes', 'poireaux', 'oignons', 'poivrons rouges', 'eau', 'raisins secs', 'raisins', 'huile de graine de coton', 'piments', 'curry', 'avec farine de moutarde', 'sel de cuisine iodé', 'sucre', 'citronnelle', 'jus de citron concentré', 'ail', 'noix de coco en poudre', 'noix de coco', 'maltodextrine', 'protéines de lait', 'épaississant', 'gomme xanthane', 'pulpe de tomate', 'vinaigre comestible']",Hero : Chana dal Salat
4635,14.8,70.0,0.6,0.5,3021760401019,"['pomme 96', 'sucre', 'jus de citron concentré', 'antioxydant', 'acide ascorbique']",Materne : Pom'Potes : Pomme
4636,17.0,74.0,0.0,0.5,7610818144686,"['fruits', 'pêches', 'poires', 'raisin', 'ananas', 'cerises', 'avec colorant', 'e127', 'eau', 'sucre', 'acidifiant', 'e330']",Fruchtcocktail
4637,17.0,74.0,0.0,0.5,7610800005827,"['poires', 'eau', 'sucre', 'affermissant', 'e509', 'acidificante', 'e330']",Williams-Birnenhälften
4639,9.9,225.0,19.0,2.3,8076809568067,"['purée de tomates vertes', 'aubergines 22', 'aubergines 21', 'aubergines séchées 1', 'courgettes', 'huile de tournesol', 'sirop de glucose', 'fromage grana padano aop', 'lait', ""lysozyme d'oeuf"", 'oignon', 'sel', 'persil 1', 'origan 0', 'concentré de jus de citron', 'ail', 'poivre noir']",Barilla : Pesto Rustico : Aubergine mit Kräutern
4641,90.0,390.0,2.0,0.9,7611100056373,"['amidon de pomme de terre', 'lactose', 'maltodextrine', 'farine de riz', 'huile de palme', 'protéine de lait']",Maizena Express : Saucenbinder : hell
4642,82.0,354.0,1.5,0.5,7613312022757,"['canneberges', 'sucre', 'huile de tournesol']","Sun Queen : Cranberries : gezuckert, getrocknet"
4643,54.0,247.0,0.5,3.0,7617027017541,"['pruneaux séchés', 'eau', 'fructose', 'acidifiant', 'acide citrique']",Sun Queen : Soft Fruit : Pflaumen getrocknet entsteint
4644,17.0,74.0,0.0,0.5,7610800005834,"['poires', 'eau', 'sucre', 'affermissant', 'e509', 'acidifiant', 'e330']",Williams-Birnenhälften
4645,11.0,47.0,0.5,0.5,7610094251764,"['jus de fruits a base de concentré', 'orange', 'pomme', 'ananas', 'lemon 1', 'maracuja 1', ""pulpe d'abricot 1"", 'pulpe de mangue 0', 'pulpe de banana 0', 'pulpe de goyava 0', 'pulpe de', 'papaya 0', '24b pulpe de peche 0', 'mélange de vitamines', 'vitamine c niacine', 'vitamine e', 'acide pantothénique', 'provitamine a vitamine b6', 'riboflavine', 'thiamine', 'acide folique', 'biotine', 'vitamine b12', 'pasteurisé']",Ramseier Multivitamines Naturel
4646,52.4,330.0,1.8,21.6,5601255110152,['petit moines'],
4648,,,,,7610809127001,"['dextrose', 'gélifiant', 'e440', 'acidifiant', 'e334']",Confi-Vite : Geliermittel für Konfitüre und Gele
4650,65.0,429.0,15.0,7.0,7617400030020,"['sucre', 'farine de blé', 'huiles et graisses végétales', 'palme', 'colza', 'palmiste', 'tournesol', 'coprah', 'noisettes', 'cacao maigre', 'sirop de glucose', 'fructose', 'sirop de sucre inverti', 'lait entier en poudre', ""blanc d'oeuf en poudre"", ""d'élevage au sol"", 'humectant', 'sorbitol', 'pâte de cacao', 'amandes', 'épices', 'arômes', 'poudre à lever', 'e 503', 'sel de cuisine', 'farine de riz', 'émulsifiant', 'lécithines de soja', ""malt d'orge""]",Midor : Bärentatzen
4651,3.5,62.0,4.5,1.0,7613312052051,"['eau', 'cepes', 'bolets unes', 'creme', 'huile de colza', 'vin blanc', 'amidon de maïs modifié', 'oignons', 'farine de blé', 'lait entier en poudre', 'sel de cuisine', 'bouillon végétal', 'protéine de lait', 'contient du lactose', 'émulsifiant', 'sirop de sucre caramélisé', 'épaississant', 'gomme xanthane', 'jus de citron conter', ""extraits d'épices""]",Steinpilzcrèmesuppe
4652,66.0,380.0,5.0,13.0,7613356131453,"['amarante bio', 'bolivie', 'inde', 'perou']",Naturaplan : Amaranthpops
4653,69.0,381.0,10.0,3.0,4001518722466,"['sucre', 'sirop de glucose', 'fructose', ""jus d'orange à base de jus concentré"", 'farine de blé', 'pâte de cacao', 'oeuf entier', 'graisse de palme', 'beurre de cacao', 'stabilisant', 'sirop de sorbitol', 'amidon de blé', 'gélifiant', 'pectine', 'acidifiant', 'acide citrique', 'émulsifiants', 'e471', 'lécithines de soja', 'amidon de tapioca', 'poudres à lever', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', ""huile d'écorces d'orange"", ""correcteur d'acidité"", 'citrates de sodium', 'sel de cuisine', 'arôme naturel de vanille']",Griesson : Soft Cake : Dark Chocolate
4654,5.0,66.0,3.6,3.5,7610200373311,"['lait entier standardisé', '3', 'de matière grasse']",Valflora : Hoch Past : Milch
4655,55.0,469.0,23.0,7.0,7613312066690,"['canneberges sucrées', 'canneberges', 'sucre', 'huile de tournesol', 'noisettes', 'noix de cajou', 'amandes', 'noix de pécan', 'pignons']",Sun Queen : Professorenfutter
4656,77.0,467.0,15.0,5.0,7617400038019,"['farine de blé', 'sirop de glucose', 'huiles végétales', 'palme', 'colza', 'tournesol', 'fructose', 'sucre', 'glucose', 'pulpe de framboises', 'jus de groseilles rouges', ""jaune d'oeuf"", ""d'élevage en plein air"", 'sirop de sucre inverti', 'jus de baies de sureau', 'gélifiant', 'pectine', 'protéines du lait', 'contient lactose', 'sel de cuisine', 'arômes naturels', 'acidifiant', 'acide citrique', ""correcteurs d'acidité"", 'e331', 'e333', ""malt d'orge""]",Amigos : Feines Mürbagebäck mit aromatischer Fruchtfüllung
4657,6.3,69.0,4.0,1.4,8076809513692,"['pulpe de tomates', 'concentré de tomates', 'oignons', 'carottes 3', 'huile de tournesol', 'sucre', 'sel', 'ail 0', 'thym 0', 'ciboulette 0', 'persil 0', 'arômes', 'poivre noir 0']",Barilla : Napoletana
4658,66.0,455.0,18.0,6.0,7617400037814,"['sucre', 'farine de blé', 'huiles végétales', 'palme', 'colza', ""pulpe d'abricots"", 'noisettes', 'sirop de glucose', 'oeuf entier en poudre', ""d'élevage au sol"", 'gélifiant', 'pectine', 'humectant', 'sorbitol', 'acidifiant', 'acide citrique', 'arômes naturels', 'sel de cuisine', ""malt d'orge""]",MClassic : Wiener Waffeln
4659,7.7,84.0,3.6,4.5,8076809546362,"['eau', 'concentré de tomate 20', 'oignons', 'viande de porc', 'pulpe de tomate 6', 'viande de boeuf', 'carottes', 'fromage ricotta', 'lactosérum', 'lait', 'arômes naturelles', 'lait', 'amidon de maïs', 'fromage grana padano aop', 'lait', ""lysozime d'oeufs"", 'fromage pecorino romano aop', 'lait', 'huile de tournesol', 'sel', 'sucre', 'thym 0', 'poivre noir', 'extrait de sauge', 'laurier']",Barilla : Bolognese
4660,100.0,407.0,0.0,0.0,7610302496727,['sucre de canne bio'],Naturaplan : Azucar de Paraguay : Rohrzuckersticks
4662,,,,,7610089074736,"['acide citrique', 'e330']",Dr.Oetker : Zitronensäure
4663,13.0,74.0,2.0,1.0,7613331497734,"['poivrons', 'hongrie', 'aubergines', 'hongrie', 'vinaigre de pomme', 'purée de tomates', 'sucre de canne brut', 'sel marin', 'huile de tournesol', 'amidon de maïs', 'piments']",Naturaplan : Ajvar
4664,71.0,409.0,12.0,3.5,7617400034349,"['sucre', 'farine de blé', 'huiles végétales', 'palme', 'colza', 'tournesol', 'eau', 'fraises', 'sirop de glucose', 'jus de baies de sureau', 'gélifiant', 'pectine', 'oeuf entier en poudre', ""d'élevage au sol"", 'sirop de sucre inverti', 'acidifiant', 'acide citrique', 'protéines du lait', 'contient lactose', ""correcteurs d'acidité"", 'e333', 'e331', 'sel de cuisine', 'jus de citron en poudre', 'arôme naturel', ""malt d'orge""]",Fraise : Mürbegebäck mit Erdbeerfüllung
4666,58.0,539.0,30.0,8.0,7617400037807,"['farine de blé', 'huiles et graisses végétales', 'palmiste', 'palme', 'colza', 'coprah', 'sucre', ""extrait de malt d'orge"", 'oeuf entier', ""d'élevage en plein air"", 'lait entier en poudre', 'cacao maigre', 'lait écrémé en poudre', 'poudre à lever', 'e450', 'e500', 'miel', 'sel de cuisine iodé', 'arôme']",Eimalzin Smiley : Feine Biscuits mit aromatischer Malzfüllung
4667,13.0,104.0,5.2,1.4,7611100470254,"['ingrédients nouilles', 'des nouilles à la chinois', 'farine de blé', 'amidon de tapioca', 'huile de palme', 'sel comestible', 'stabilisants', 'gomme de cellulose', 'diphosphates', 'agent de levage', 'carbonate de potassium', 'carbonate de sodium', ""ingrédients sachet d'huile"", 'huile de palme', ""extrait d'ail"", ""ingrédients sachet d'épices"", 'curry', 'sel comestible', 'sucre', 'sauce soja déshydratée', 'sel comestible', 'soja', 'maltodextrine', 'farine de blé', 'huile de palme', 'oignon en poudre', 'exhausteurs de saveur', 'e621', 'e635', 'poireaux', 'piment', 'graisse en poudre', 'huile de palme', 'sirop de glucose', 'protéines de lait']",Knorr : Quick Noodles : Curry
4668,100.0,407.0,0.0,0.0,7613331318633,['sucre'],Betty Bossi : Puderzucker : mit Sieb
4669,100.0,407.0,0.0,0.0,7610818224197,['sucre'],Würfelzucker : in 2er Portionen
4670,76.1,312.0,0.2,0.0,7610188129443,"['sucre', 'sirop de glucose', 'écorce de cédrat', 'amérique/thaïlande', 'conservateur', 'e220']",Sandro Vanini : Zedrat : Kandierte Zedratschalenwürfel
4672,2.5,33.0,0.5,3.5,7610807000085,['brocolis bio blanchi'],Coop Naturaplan Broccoli 
4673,,,,,5000232901422,"['erbsen', 'wasser', 'zucker', 'salz', 'farbstoff', 'e102', 'e133']",Batchelors : Mushy Original
4674,,,,,7610845402377,"[""feuilles d'aneth bio""]",COOP naturaplan bio Dill
4675,5.0,21.0,0.0,0.1,0886287000595,['eau de noix de coco'],The Elements : Pure Coconut Water
4677,27.0,131.0,0.5,1.9,5000147032921,"['eau', 'menthe', 'vinaigre', 'sucre', 'sirop de glucose', 'sel', 'acide acétique', 'épaississant', 'gomme xanthane', 'colorant', 'e141']",Colman's : Mint Sauce
4678,61.0,300.0,4.5,4.0,0077544000506,"['poudre de sirop de maïs', 'sel', 'amidon de maïs', 'sucre', 'extrait de levure', 'huile de palme', 'arômes', 'contient du céleri', 'oignon déshydraté', 'épices', 'persil déshydraté', 'antioxydant', 'extrait de romarin']",Osem : Consomme
4679,1.0,251.0,22.0,13.0,7610845467833,"['viande de porc', 'a', 'lard', 'c', 'glace', 'couennes', 'viande de veau', 'd', 'sel de cuisine iodé', 'protéines lactiques', 'acidifiant', 'e262', 'maltodextrine', 'stabilisants', 'e452', 'e450', 'épices', ""extraits d'épices"", 'bouillon', 'extrait de levure', 'arôme', 'enveloppe', 'boyau de porc', 'teneur totale en sel de cuisine', '1']",Coop Bratwurst
4681,59.0,459.0,19.0,8.0,7610023002573,"[""flocons d'avoine complète"", 'chocolat', 'sucre', 'beurre de cacao', 'masse de cacao', 'poudre de lait entier', 'cacao en poudre', 'lactosérum en poudre', 'arôme naturel de vanille', 'crispies de céréales', 'maïs', 'riz', 'sucre brut', 'farine complète', 'blé', 'seigle', 'orge', ""malt d'orge"", 'poudre de cacao maigre', 'sel de table', 'sucre brut', 'farine', 'blé', 'seigle', 'huile de tournesol', 'flocons de noix de coco', 'oligofructose', 'miel', 'poudre de cacao maigre', 'germes de blé', 'sel de table', 'dextrose', 'noisettes torréfiées']",Familia : Choco Crunch : Müesli croquant : mit Schoggi
