,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
30,2.0,610.0,146.0,6.0,0.0,21.0,0.4,4.5,0.5,7613356299931,Coop Qualité & Prix Mozzarella,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.1,176.0,41.0,,,,,,10.1,90494055,Fanta Mango,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6.6,176.0,42.0,0.5,2.7,1.3,0.95,0.2,3.7,8410076470553,Oldelpaso Sauce à cuisiner pour fajitas ,,395.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13.0,922.0,221.0,12.0,4.0,13.0,1.4,1.0,4.0,7613269752745,Migros Bio Kale Burger mit Rapssamen ,,180.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4.9,83.0,20.0,0.0,,0.0,0.01,0.0,4.9,3057640409738,,,1500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,43.0,932.0,220.0,0.8,,8.9,1.0,0.3,3.6,4009097010639,,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14.0,400.0,95.0,3.0,0.5,3.0,0.1,1.7,13.0,22016072,M Classic Ananas joghurt,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,8002366000931,LA VITE LUCENTE 2013 TENUTA LUCE DELLA VITE TOSCANA,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.5,550.0,132.0,7.0,1.0,14.0,0.9,1.0,1.0,7610849872121,Coop Tomato Bio Tofu Karma mariniert mit Tomaten und Peperoni,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,56.0,2295.0,550.0,33.0,1.6,5.6,0.57,18.5,48.5,7622210172976,Milka OREO,,123.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,52.0,2366.0,568.0,37.0,,6.1,0.22,24.0,50.0,7610400072878,Lindt Chocoletti Summer Edition Swiss Milk Chocolate with coconut filing,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,3147690051206,LABEL 5 BLENDED SCOTCH WHISKY Classic Black,,700.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,7610848704638,FRI-MOUSSE BARBEBLANCHE,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.0,243.0,57.0,0.0,,10.3,0.1,,4.0,5201054015681,FAGE Total 0%,,170.0,g,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,48.0,865.0,204.0,0.5,1.3,0.5,0.03,0.1,48.0,56148084,,,320.0,g,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,72.1,1500.0,354.0,1.5,,12.0,0.03,0.3,3.8,5201193106028,Melissa Barley Wholesale,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,59.0,1024.0,241.0,0.1,1.1,0.05,0.0,,59.0,3608580006046,Bonne Maman Konfitûre extra Aprikosen,,750.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11.0,210.0,50.0,0.0,,0.7,0.0,,11.0,3182280072155,DANAO PFIRSICH APRIKOSE,,,ml,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,17.0,320.0,76.0,0.1,,0.3,0.03,0.1,15.9,20004064,Harvin Apfelmus,,720.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,62.0,1980.0,473.0,19.0,7.0,10.0,0.0,1.5,36.0,7617400037623,Migros Bio Vollkorn Nuss-Stengeli,,270.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,7611828151992,Coteaux Du Haut-Léman Noble Terre Chardonne,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,80.0,1510.0,361.0,0.5,1.0,7.0,0.01,0.0,0.0,7613331012838,"coop FINE FOOD Spanischer Paella-Reis ""Bomba""",,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,50.0,930.0,222.0,0.5,9.0,2.5,0.5,0.0,46.0,7613331680679,Coop Qualité&Prix  Mischobst,,200.0,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,http://m.langnese-honig.ch/index.php?id=2220,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,66.8,2108.0,503.0,23.6,,5.3,0.16,14.3,34.2,20349172,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.0,2090.0,500.0,51.0,,11.0,,,,7610011001816,Bell Mettwurst,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,7610029175240,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,7610899180269,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,19.0,538.0,128.0,2.5,2.5,6.0,0.9,0.6,1.5,7613312027240,SubitoPenne bolognaise,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,8.0,831.0,201.0,17.0,5.0,1.5,1.1,2.5,1.5,7613269369899,Anna's VEGI GUACAMOLE MEXICAN STYLE,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13.0,317.0,75.0,1.0,2.0,2.5,0.5,0.5,7.0,7617027916011,MIGROS : Maiskörner Bio,['Hungary'],285.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
