,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
3640,1.0,500.0,118.0,4.0,0.5,20.0,2.0,1.5,1.0,2159924004507,MClassic Hinterschinken ,,160.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3641,59.0,2240.0,536.0,30.0,2.0,7.0,0.03,9.0,48.0,7613356490604,,,,g,,,30.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,59.0,2390.0,572.0,34.0,1.0,7.0,0.5,20.0,59.0,7610849098088,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3643,0.6,1094.0,,23.2,,13.2,,,,20234751,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,7.0,1620.0,390.0,30.0,,23.0,,,,20431501,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2.0,1748.0,420.0,33.0,,29.0,1.7,,,20631185,,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,17.5,420.0,100.0,1.5,2.5,2.5,0.7,,2.5,7610807242300,Coop Naturaplan Bio Sweet Corn,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647,68.0,1530.0,366.0,2.0,3.0,16.0,0.1,0.5,1.5,7610849679096,Coop Naturaplan Bio Penne Rigate Teigwaren aus Dinkelmehl,,400.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,1.0,596.0,142.0,7.0,0.5,19.0,1.8,3.0,0.5,2132959005602,Rapelli Hinterschinken Verdi,,169.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,,,,,,,,,,7611056037006,Tenuta Montalbano Merlot Ticino DOC,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,0.0,760.0,182.0,10.0,0.0,23.0,1.8,3.0,0.0,7611654537595,COOP naturaplan Rauschlachs,['Ireland'],100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651,0.1,1600.0,383.0,28.0,0.0,33.0,1.5,15.0,0.1,7630017664167,COOP Qualité & Prix Gran d'Oro,,130.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3652,,,,,,,,,,7610162217548,taglio fresco CITTERIO Mortadella,,70.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,19.0,2413.0,584.0,46.0,,12.5,0.02,28.0,11.0,3046920028363,LINDT Excellence 85% CACAO Extra feine dunkle Chocolade,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,14.0,264.0,62.0,0.5,2.0,0.6,0.0,0.5,12.0,7613312081181,M Classic Apfel-Bananenmus,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655,93.0,1582.0,372.0,1.0,,1.0,,,,7610073951005,Halsfeger Gorge Claire Duo,,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,47.0,1190.0,285.0,6.0,2.0,9.0,1.0,0.5,7.0,7610827631566,Coop Quality & Prix Hamburger Buns,,345.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,64.0,1980.0,474.0,20.0,4.0,7.0,0.9,2.0,1.5,7610848076612,Coop Qualité & Prix  Mexican Style Tortilla Chips Natural,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,21.0,396.0,93.0,0.5,0.5,2.5,14.5,0.5,10.0,7617027765732,Migi's Chef Metzger Fisch-Fond,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3659,40.0,2460.0,593.0,45.0,5.0,4.5,0.06,5.0,38.0,7616500260207,Patissier Sauce Coupe Danmark,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,46.0,1068.0,253.0,3.5,2.5,8.0,1.5,0.5,5.0,7616700243192,CRUSTLESS TOAST ,,400.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,0.6,1094.0,264.0,23.2,,13.2,,,,20595753,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662,57.0,1475.0,350.0,10.0,0.0,8.0,0.35,6.0,20.0,7617027746908,Boulangerie-Pâtisserie Gassner Anisgebäck,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,73.0,1750.0,414.0,8.0,3.0,11.0,11.0,3.5,15.0,7617400036596,ORIGINAL Zwieback Mini,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3664,59.0,1500.0,355.0,5.0,7.0,15.0,0.1,0.5,0.0,7613312016671,Migros Quinoa Weiss,,400.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3665,7.0,150.0,36.0,0.0,2.0,1.0,1.5,,7.0,7610818158874,Coop Qualité é Prix Rotkraut gekocht,,830.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,5.0,270.0,65.0,4.0,0.5,1.5,0.9,2.5,1.5,7611100140126,Knorr Kartoffelsuppe mit Speck,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3667,5.1,379.0,92.0,7.0,,0.8,1.5,,3.2,8001060018037,SACLA ITALIA Paprika in Streifen geschnitten,,280.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3668,4.0,191.0,46.0,1.9,0.5,3.1,0.11,0.5,3.0,4104420095021,Alnatura Soja Drink Calcium,,1000.0,ml,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,76.0,1690.0,404.0,5.0,3.5,11.0,0.67,2.5,15.0,7610849293995,Coop Zwieback,,,g,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,10.0,820.0,197.0,13.0,,10.0,,,,7617027574631,Migros chèvre frais ,,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,,,,,,,,,,7617027662857,LiliBiggs Mini Apfel,,1500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3672,48.0,1788.0,428.0,21.0,8.0,8.0,2.5,10.0,1.0,7617027048118,Microwave Popcorn,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,23.0,818.0,195.0,7.2,1.6,8.7,1.2,3.1,4.0,7613034679451,Buitoni Pizza La Fina Hawaii,,380.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3674,11.6,326.0,77.0,2.0,0.3,3.1,0.1,1.2,9.2,7612100031834,ovo drink,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,79.0,1350.0,323.0,0.0,,0.0,,,,7610818236220,coop naturaplan bio Cranberry Brotaufstrich mit Moosbeeren,,240.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,8.9,153.0,36.0,0.0,,0.1,0.0,0.0,8.3,3760122965607,Michel et Augustin L'incroyable citronnade,,330.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3677,5.0,1140.0,273.0,17.0,6.0,22.0,1.6,1.0,2.0,7613331293879,Coop Délicorn Grill Ribs Mit Pfeffer,,,g,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,
3678,5.2,808.0,193.0,18.3,0.4,1.2,1.3,3.0,1.6,7613034347299,THOMY Stroganoff Für Geschnetzeltes und Fleischbällchen,,,g,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,1.0,1030.0,246.0,20.0,0.0,16.0,0.5,14.0,1.0,7610829889224,coop naturaplan Mozzarella,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680,56.0,2053.0,491.0,26.0,4.5,6.0,1.3,3.0,2.5,8410076481726,Pancho Villa Authentic Mexican Tortilla Chips Ranch Mais-Chips mit Barbecue-Geschmack,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3681,12.0,756.0,182.0,13.0,0.0,15.0,0.9,13.0,0.5,8422819003041,GRAN MAR Tintenfisch in Marinade,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,,,,,,,,,,7610846735221,coop naturaplan Sauerteigpulver,,10.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,50.0,2410.0,577.0,39.0,2.0,6.0,0.02,0.0,47.0,7613331531490,,,,g,,,0.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,50.0,2400.0,574.0,38.0,2.5,7.0,0.1,,49.0,7613331319814,,,,g,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3685,15.0,300.0,70.0,0.5,2.0,2.0,0.25,0.5,0.0,7610200318800,Pomme de terre Charlotte,,2500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3686,10.0,270.0,63.0,12.0,,3.0,0.15,0.7,10.0,7610900031948,Emmi CAFFÈ LATTE CAPPUCCINO,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,4.7,80.0,20.0,0.5,,0.5,0.03,0.5,4.5,8722700485759,Lipton Green Ice Tea,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3688,1.0,1670.0,403.0,33.0,0.5,26.0,5.0,12.0,0.5,7610311385104,Gruyeres Saucisson,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,4.5,230.0,55.0,2.6,0.0,3.5,0.1,1.6,4.5,7612464753700,Lait Vaudois Teilentrahmte Milch,,1000.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3690,,,,,,,,,,0070177011598,Twinings Of London Earl Grey,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691,73.0,1736.0,411.0,7.5,4.0,11.0,2.0,1.2,3.2,8000110303024,Cotte al Forno Pan chips Gusto Mediterraneo,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,0.6,10.0,2.0,0.0,,0.0,0.0,,0.2,4002221027787,Meßmer Ägyptischer Amun Granatapfel-Honig,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3693,,,,,,,,,,7610058208896,Roland QUALITÉ & TRADITION SUISSE Extra Knäckerbrot 3 SAATEN,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3694,,,,,,,,,,7610807026504,Sulze,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,42.0,2610.0,624.0,48.0,2.5,6.0,0.2,25.0,37.0,7610849627967,Coop Baumschmuck Samichlaus,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3696,,,,,,,,,,0089819013173,Beringer Founders' Estate Cabernet Sauvignon,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697,,,,,,,,,,3228024910113,Président 12 Petits Chèvres Doux,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698,84.0,1650.0,389.0,4.5,0.0,3.0,,4.0,84.0,7613269333609,SMAMS Mint C,,200.0,g,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,6.0,180.0,43.0,1.0,0.9,2.0,0.9,0.5,1.5,7613269296973,Bon Chef easy SOUP Haferkern,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,20.0,376.0,88.0,0.5,,0.5,0.02,0.0,18.0,8001010020196,Ponti Glassa Gastronomica Al Succo Di Limone,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,,,,,,,,,,76404405,milerb BASILIKUM Würzkräuterzubereitung,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,74.1,1803.0,428.0,12.9,2.7,2.3,0.04,7.4,64.4,5000189363069,Nestle After Eight MINT CHOCOLATE THINS,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,7.0,118.0,28.0,0.0,0.0,0.5,0.01,0.0,7.0,7613269294993,Ice Tea Mint-Lime,,70.0,g,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,11.0,2780.0,665.0,62.0,8.0,14.0,0.0,4.5,8.0,7610818970292,Coop Naturaplan Haselnüsse gemahlen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,1.0,596.0,142.0,7.0,0.5,19.0,1.8,3.0,0.5,2140811005004,Rapelli Hinterschinken Puccini hauchdünn,,133.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,1.0,530.0,127.0,5.0,0.5,20.0,2.1,3.0,1.0,2183807005503,Terrasuisse Hinterschinken Gourmet,,138.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707,1.0,500.0,118.0,4.0,0.5,20.0,2.0,1.5,1.0,2159931004750,Terrasuisse Proscuitto hauchdünn,,135.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708,7.0,140.0,33.0,0.5,1.5,1.5,0.8,0.0,7.0,8002510500348,LONGOBARDI Pizza sauce con peperoncino,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709,0.5,1734.0,418.0,35.0,,25.5,,,,20812669,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710,0.1,1342.0,324.0,28.0,,18.0,1.3,20.3,0.1,20400811,,,180.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3711,0.1,1670.0,403.0,33.0,,26.8,,,,20631758,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,0.1,1546.0,372.0,28.0,0.0,29.0,0.0,28.0,0.0,20480103,,,,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,1.3,1580.0,381.0,32.0,,22.0,1.8,23.0,0.0,20206512,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714,54.0,2240.0,537.0,32.0,2.5,7.0,0.2,18.0,44.0,7617400036541,Migros Choc Midor Gebäckmischung mit Milka Schokolade,,90.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715,43.0,1665.0,398.0,22.0,,6.2,0.98,13.0,25.0,7610089004986,Dr.Oetker : Schoko Cake,,485.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,63.0,2135.0,510.0,25.0,2.5,7.0,0.16,15.0,21.0,7617400033007,Grand-Mère Mailänderli,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717,61.0,1260.0,301.0,1.0,,11.0,0.9,,,7610200070029,Ziadé Pain Libanais,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3718,,,,,,,,,,7610173011333,MORAND MIRABELLE EAU-DE-VIE DE MIRABELLES SUISSES,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719,,,,,,,,,,3700637900410,Bisquit Cognac VSOP,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,79.0,1710.0,404.0,5.0,1.5,10.0,1.3,1.0,3.5,7610200084897,Migros Chop Stick Asian Food Oriental Mix,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3721,,,,,,,,,,8008440522009,Peroni Nastro Azzurro,,990.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722,52.8,1902.0,455.0,20.3,,3.0,0.01,13.2,48.3,8000500034743,Ferrero Mon Chéri,,168.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3723,0.5,1493.0,361.0,33.0,,16.0,,23.0,0.5,3341500006008,Saint Agur Force et Fondant à la fois Fromage à pâte persillée fabriqué en Velay,,125.0,g,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,1.5,676.0,161.0,7.0,,23.0,1.5,,,2155132004155,Spécialité Suisse Krustenschinken,,98.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,70.7,1805.0,428.0,10.6,1.1,11.9,0.25,4.2,42.0,7611471004126,milupa Apfel Vanille Brei,,450.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726,9.0,185.0,43.0,0.5,0.5,1.0,,0.1,9.0,7610235003016,hohes C reich an natürlichem Vitamin C ORANGE,,1000.0,ml,,,,0.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,35.0,1270.0,304.0,17.0,0.5,2.5,0.1,11.0,33.0,7617400049923,MEGASTAR 6 strawberry,,720.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728,13.0,646.0,155.0,7.2,2.4,8.1,0.48,3.8,2.5,8710908920585,Knorr Thailandisches Green Curry Thaï,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729,58.2,2211.0,529.0,30.0,2.0,5.6,0.68,18.7,16.5,0039047014589,Walkers Pure Butter SHORTBREAD Festive Shapes,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3730,6.0,480.0,115.0,7.5,0.0,0.2,0.02,4.5,6.0,7613356205000,Coop Qualité & Prix Pour Le Café,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3731,67.0,1511.0,357.0,2.5,3.0,15.0,0.53,0.6,2.5,7616700014976,M Classic Penne Becs de plumes Eierteigwaren aus Hartweizengriess,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732,28.0,880.0,211.0,9.0,,4.0,,,,7610845342437,Coop Fine Food Milchglace,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733,0.0,1660.0,397.0,32.0,0.0,28.0,4.4,15.0,0.0,7610352334185,Ticinella Trutensalametti,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3734,59.0,2390.0,572.0,34.0,1.0,7.0,0.2,20.0,59.0,7610849098262,,,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735,1.0,500.0,118.0,4.0,0.5,20.0,2.0,1.5,1.0,2183838006258,Terrasuisse Hinterschinken,,190.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736,1.0,500.0,118.0,4.0,0.5,20.0,2.0,1.5,1.0,2114485006353,Schinken Anschnitte,,335.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737,17.6,554.0,132.0,4.9,,4.0,,,,20595784,,,225.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3738,,,,,,,,,,7613269113720,Vanilleschoten,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3739,12.3,322.0,76.0,,,3.2,0.15,,,42114321,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3740,0.2,1545.0,,31.0,,23.0,1.9,19.2,0.2,20509811,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741,1.0,1390.0,333.0,30.0,,18.0,,,,7610818252572,Coop Prix Garantie Brie Suisse À La Crème Rahm-Weichkäse,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3742,13.7,426.0,101.0,3.4,,3.6,0.14,2.3,13.1,3033490988364,Danone ACTIVIA ,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3743,8.3,281.0,67.0,3.2,,1.3,0.06,1.3,5.2,7613032565817,Nestlé Junior Milk 12+,,,g,77.0,0.06,0.6,25.0,1.1,72.0,11.5,0.99,1.2,0.12,0.2,,0.08,1.1,1.3,5.8,0.7,,,,,,14.4,,0.16,,,49.0,6.8,17.6,,,,,
3744,69.0,700.0,169.0,0.0,0.7,0.0,0.01,,0.0,7616500636231,M Classic : Kaugummi : Menthol Extra Strong,,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3745,0.8,20.0,5.0,0.5,0.5,0.5,1.2,0.1,0.8,7611100325882,Knorr Rinds,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3746,,,,,,,,,,76408328,yogourt arome vanille silivri,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3747,,,,,,,,,,8437008073033,Priorat Ritme Celler 2013,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,59.0,1030.0,246.0,0.0,2.5,0.5,0.01,0.0,54.0,7613356138513,Coop Prix Garantie Konfitüre Himbeeren,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,16.0,277.0,65.0,0.5,0.0,0.5,0.0,,16.0,7613269303558,Sarasay Birne,,,g,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,0.5,1528.0,365.0,29.5,,26.0,,,,20631673,Fromant,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,1.0,743.0,178.0,11.0,0.5,19.0,1.8,4.0,0.5,2247887003955,Malbuner Bauern-Saftschinken,,128.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,49.0,2420.0,579.0,39.0,3.0,7.0,0.3,20.0,39.0,7611654222033,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753,46.0,2450.0,586.0,41.0,,8.0,,,,7610849099511,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3754,61.0,2160.0,517.0,27.0,2.0,7.0,0.5,8.0,42.0,7610807133721,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755,7.0,200.0,48.0,1.5,0.5,1.5,0.09,0.9,6.0,7617014180449,Twïn Chai Tea Latte,,158.4,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3756,49.0,1060.0,250.0,0.9,3.0,10.0,1.6,0.5,3.0,7616700026870,M Baguettimi,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3757,0.5,1596.0,380.0,33.0,,23.5,,,,20812645,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3758,,,,,,,,,,20507985,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3759,0.5,1231.0,297.0,25.0,,18.0,1.5,18.0,0.5,20490454,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3760,0.5,807.0,193.0,11.0,,,,2.0,0.5,7617027757706,Norway Lachsforelle geräuchert,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3761,6.6,346.0,82.0,3.5,0.0,5.0,0.13,2.1,,7610100529399,Nestlé LC1 Nature,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3762,41.0,1042.0,247.0,3.5,3.5,11.0,2.0,0.5,1.5,7613269328957,Migros Pain Création Helles Weizenbrot mit Oliven,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763,10.9,208.0,49.0,0.1,1.7,0.3,0.05,0.0,9.4,4062300093058,Hipp Frucht-Pause Apfel-Pfirsich-Mango,,,g,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764,,,,,,,,,,7640112551118,Le Croustillon,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3765,54.0,2370.0,567.0,35.0,2.0,8.0,0.3,21.0,52.0,7610849681754,Coop Napolitains Schweizer Milchschokolade,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,52.0,2430.0,581.0,39.0,,6.0,,,,7610849098965,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,62.0,1427.0,339.0,3.1,18.0,6.7,0.26,0.6,38.0,42297680,Alnavit Beerenliebling Bio Smoothiepulver,,145.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3768,42.0,2500.0,598.0,44.0,,7.0,,,,7611654221913,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769,47.0,2170.0,519.0,34.0,12.0,13.0,0.04,14.0,23.0,059527801553,Taste of Nature Coconut Organic Nut Bar,,40.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3770,13.4,0.9,,,,3.3,0.15,,,20085391,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771,,,,,,,,,,7610849900220,Château La Gurgue Margaux 2013,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3772,45.3,2360.0,565.0,38.3,,6.5,0.09,22.7,42.5,7610403002551,GOLDKENN CHOCOLATE DISCOVERY,,175.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773,87.0,1600.0,377.0,3.0,0.0,0.5,0.85,0.0,85.0,5010478642270,Swizzels Love Hearts,,118.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3774,,,,,,,,,,7613312127018,MIGROS BIO Rotweinessig,,570.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775,,,,,,,,,,20282257,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776,0.9,1684.0,406.0,33.0,,28.0,,,,20632038,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3777,2.9,1018.0,247.0,23.7,,5.4,0.78,16.2,2.9,20002619,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778,,,,,,,,,,7613356378117,Valisiana Syrah Du Valais AOC Valais 2015,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779,19.0,550.0,131.0,5.0,0.5,2.5,0.1,3.0,17.0,7616600710473,ELSA DESSERT TRADITION Crème Vanille,,175.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780,97.0,980.0,235.0,0.0,,0.0,0.0,0.0,0.0,7610700001189,Ricola Eucalyptus Kräuterbonbons,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781,16.9,535.0,127.0,4.5,0.5,4.5,0.15,2.7,16.1,7613196006546,Nestlé HIRZ CHOCOLAT GERÜHRTES JOGHURT Choco Splitter ,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
