,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,id,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
30,3.7,215.0,51.0,0.2,,8.5,0.1,0.1,3.7,18785,,,,g,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,55.0,1080.0,258.0,0.0,,1.0,,0.0,,4636,Coop Naturaplan Bio Aceto Balsamico Di Modena IGP,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.9,83.0,20.0,0.0,,0.0,0.01,0.0,4.9,15978,,,1500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,43.0,932.0,220.0,0.8,,8.9,1.0,0.3,3.6,16038,,,220.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,14.0,400.0,95.0,3.0,0.5,3.0,0.1,1.7,13.0,13551,M Classic Ananas joghurt,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,56.0,2295.0,550.0,33.0,1.6,5.6,0.57,18.5,48.5,2840,Milka OREO,,123.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,52.0,2366.0,568.0,37.0,,6.1,0.22,24.0,50.0,2571,Lindt Chocoletti Summer Edition Swiss Milk Chocolate with coconut filing,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,8881,LABEL 5 BLENDED SCOTCH WHISKY Classic Black,,700.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,9084,FRI-MOUSSE BARBEBLANCHE,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4.0,243.0,57.0,0.0,,10.3,0.1,,4.0,6402,FAGE Total 0%,,170.0,g,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,48.0,865.0,204.0,0.5,1.3,0.5,0.03,0.1,48.0,16012,,,320.0,g,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,72.1,1500.0,354.0,1.5,,12.0,0.03,0.3,3.8,4487,Melissa Barley Wholesale,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,59.0,1024.0,241.0,0.1,1.1,0.05,0.0,,59.0,3093,Bonne Maman Konfitûre extra Aprikosen,,750.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11.0,210.0,50.0,0.0,,0.7,0.0,,11.0,6627,DANAO PFIRSICH APRIKOSE,,,ml,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17.0,320.0,76.0,0.1,,0.3,0.03,0.1,15.9,19538,Harvin Apfelmus,,720.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,62.0,1980.0,473.0,19.0,7.0,10.0,0.0,1.5,36.0,11107,Migros Bio Vollkorn Nuss-Stengeli,,270.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,9722,Coteaux Du Haut-Léman Noble Terre Chardonne,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
