,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,id,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
1210,69.0,1420.0,335.0,0.9,3.5,11.0,2.8,0.5,1.0,4818,Mei Yang Chinese Noodles,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,8829,Saint-Emilion Rol Valentin,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,45.0,1197.0,284.0,6.0,5.0,10.0,1.2,2.0,3.5,13897,Mclassic Sandwiches mit Vollkornmehl,,260.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,4135, Delicius Sardellenpaste,,60.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,,,,,,,,,,5433,TWININGS OF LONDON Lady Grey CITRUSY & FRAGRANT,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,43.0,2607.0,628.0,48.0,,4.8,0.14,35.0,42.0,17158,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,12.0,209.0,49.0,0.0,0.0,0.0,0.01,,12.0,4887,28 BLACK ENERGY DRINK AÇAI,,,g,,,,,,,24.0,,,,,5.0,0.05,,,,,,,,,,,,0.8,1.8,,,,,,,,,
1217,,,,,,,,,,11607,Boncampo Classico fräftig und rassig,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,51.0,1201.0,284.0,2.5,2.5,13.0,1.1,0.7,0.9,14311,Anna's Best Fettuccine Pasta fresca all'uovo,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,13.5,588.0,141.0,8.5,0.2,2.6,0.1,6.0,13.0,6375,Yoplait Perle de Lait,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,15.0,400.0,94.0,1.0,2.5,5.0,,0.5,15.0,10648,M Classic Tomatenpüree,,138.0,g,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,43.0,2350.0,565.0,39.0,9.0,6.0,0.08,19.0,41.0,16516,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,43.0,2630.0,633.0,49.0,2.0,4.0,0.1,35.0,42.0,16546,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,50.0,2400.0,576.0,38.0,3.0,7.0,0.14,,49.0,16530,,,,g,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,44.0,2150.0,518.0,39.0,4.0,9.0,0.19,21.0,8.0,16525,,,,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,46.7,1274.0,302.0,6.8,4.7,11.3,1.4,1.0,0.9,4185,Délifrance 4 petits pains Céréales French recipe,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,,,,,,,,,,9276,Listel Pétillant framboise,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,62.0,1810.0,433.0,17.0,3.0,7.0,0.5,6.0,32.0,3820,COOP Qualité & Prix BÄREN TATZEN,,380.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,63.0,1730.0,411.0,11.0,10.0,10.0,1.6,1.0,1.0,15710,DAR-VIDA Nature,,41.7,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,16804,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,3892,Lindt LINDOR,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,15.0,620.0,147.0,7.0,,6.0,0.0,,,15040,Lasagne Mit Stainpilze,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,21181,Grunberg Gewürzmanufaktur bio eierspeise ,,60.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,8792,Château Beau-Séjour Bécot PREMIER GRAND CRU CLASSÉ 2011 SAINT-ÉMILION GRAND CRU,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,,,,,,,9245,Moët & Chandon Impérial Champagne Brut,,750.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,32.0,1000.0,239.0,7.0,1.5,11.0,1.1,3.0,2.5,6047,Coop Pizza Margherita,,,g,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,8.2,186.0,44.0,0.4,1.0,1.4,,0.1,1.9,13932,"Alnatura Kürbis, Kartoffeln mit Erbsen und Fenchel",,,g,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,22.5,593.0,140.0,4.0,0.8,3.7,0.12,2.0,20.0,3391,Nestlé Stalden choco-lait,,470.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,46.0,2550.0,613.0,45.0,0.2,6.0,0.24,33.0,46.0,16526,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,46.0,2470.0,,42.0,3.5,6.0,0.11,,44.0,16519,,,,g,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,51.0,2290.0,551.0,35.0,7.0,4.5,0.01,21.0,48.0,16558,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,75.0,1984.0,472.0,16.0,,5.9,0.5,10.0,42.0,18069,Catago Butter Crisps,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,,,110.0,,,,,,,8441,Faugères AOC Mas Gabilène ,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,0.0,1630.0,390.0,29.0,0.0,33.0,1.5,18.0,0.0,8381,Coop Grand Padano,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,2251,Disch Tannen-knospen Bonbons,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,25.0,1100.0,263.0,16.0,0.5,4.5,0.2,9.0,23.0,6897,Coop Naturaplan Bio Dopperahmglace,,460.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,28.0,1217.0,292.0,14.0,13.0,7.0,5.5,1.5,18.0,12301,Anna's Getrocknete Tomaten mit Basilikum,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,49.0,1070.0,252.0,0.7,3.0,11.0,1.6,0.5,3.5,15155,Migros - Bio - Bürli Frischback,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,48.0,1306.0,310.0,8.0,3.0,9.0,1.3,3.5,9.0,13899,Migros Meisterzopf,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,19.0,385.0,91.0,0.3,1.5,1.5,2.9,0.1,15.0,3836,Kühne MADE FOR MEAT AJÍ PANCA CHILI,,375.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,0.0,3404.0,828.0,92.0,0.0,0.0,0.0,14.0,0.0,10223,Monini Classico Olio Extra Vergine Di Oliva,,,g,,,9.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,8.9,159.0,37.0,0.0,,0.0,0.0,0.0,8.9,20317,Schweppes 1783 Tonic water,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,74.0,1630.0,385.0,4.0,2.5,12.0,3.8,1.5,4.0,13455,MIGROS PARTY BREZEL GESALZEN,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,78.0,1660.0,392.0,7.0,4.5,2.0,0.0,0.5,78.0,16607,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,53.0,2340.0,560.0,35.0,2.5,7.0,0.2,21.0,52.0,16563,,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,45.0,2450.0,588.0,41.0,3.5,8.0,0.14,17.0,43.0,16555,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,67.0,1931.0,460.0,18.0,3.0,6.0,0.0,,61.0,16601,,,,g,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,21.0,52.0,16632,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,39.0,2441.0,588.0,44.0,6.0,6.0,6.0,,36.0,16540,,,,g,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,,52.0,16641,,,,g,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,54.0,2390.0,573.0,37.0,0.2,6.0,0.23,22.0,54.0,16619,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,16589,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,52.5,2401.0,575.0,36.6,,8.3,0.28,21.2,52.2,2811,Kinder Schoko-Bons,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,48.0,1400.0,334.0,3.5,27.0,14.0,0.95,0.7,18.0,1687,Kellogg's All Bran ,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,47.0,1034.0,244.0,1.0,3.5,10.0,1.5,0.5,3.0,15130,Flûtes Sfilatini - Frischback,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,52.0,1510.0,361.0,0.8,0.0,35.0,1.0,0.5,52.0,4538,Coop Qualité & Prix Magermilchpulver,,350.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,15.0,673.0,161.0,8.4,4.8,3.2,0.7,0.7,2.3,4424,Baktat Weisse Riesenbohnen,,400.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,36.0,958.0,226.0,3.3,0.9,12.0,39.2,1.1,28.0,5857,Knorr Aromare,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,14.0,781.0,187.0,9.0,0.8,12.0,0.63,0.6,0.6,12040,Pelican Fischstäbchen Dorsch,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,69.5,1510.0,356.0,1.6,2.9,14.5,0.01,0.3,3.1,5726,Rummo Lenta Lavorazione Spaghetti N° 3,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,49.0,2400.0,577.0,38.0,3.5,8.0,0.16,18.0,46.0,16626,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,49.0,2350.0,565.0,37.0,2.0,8.0,0.24,21.0,48.0,16630,,,210.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,60.0,2300.0,551.0,32.0,1.5,5.0,0.13,19.0,59.0,16637,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,56.0,2290.0,549.0,33.0,2.0,6.0,0.19,20.0,49.0,16561,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,21.0,52.0,16620,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,52.0,2320.0,556.0,35.0,2.5,7.0,0.18,,51.0,16643,,,,g,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,53.0,2340.0,560.0,35.0,2.5,7.0,0.2,21.0,52.0,16587,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,53.0,2340.0,560.0,35.0,2.5,7.0,0.19,0.0,52.0,16548,,,,g,,,0.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,49.0,2380.0,570.0,37.0,2.5,9.0,18.0,22.0,47.0,16578,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,0.1,1480.0,356.0,27.5,,27.0,1.5,18.5,0.1,8160,Leerdammer Finesse Original ,,100.0,g,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,50.0,2410.0,577.0,39.0,2.0,6.0,0.2,21.0,47.0,17075,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,5.2,1595.0,386.0,37.0,2.5,6.9,1.2,4.7,4.2,10039,Alnatura Streichcreme,,180.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,8453,Château Saint-André Gigondas,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,34.0,920.0,218.0,7.0,1.5,4.0,0.1,4.5,28.0,14677,Creme d'or marrons,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,14.0,440.0,105.0,3.5,0.0,4.0,0.13,2.0,14.0,6530,Coop Jogurt Vanille,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,67.0,2080.0,497.0,22.0,2.0,8.0,0.12,10.0,22.0,4287,HUG Dessert-Bödeln,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,58.0,2000.0,478.0,23.0,8.0,6.0,1.4,2.0,8.0,4874,coop SWEET POTATO TORTILLA CHIPS Karma,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,52.0,2470.0,592.0,40.0,0.0,6.0,0.25,24.0,52.0,16559,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,61.0,1065.0,251.0,0.5,1.5,0.5,0.05,,59.0,12413,Bischofszell Extra Himbeeren,,450.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,0.5,812.0,197.0,21.0,2.5,1.0,3.3,4.0,0.5,12297,Anna's Best Grüne Tapenade,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,6.3,2603.0,630.0,54.6,,24.0,0.58,5.2,5.2,21023,Geröstete Mandeln Mit Pikanter Wasabi-Note,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,25.0,650.0,155.0,4.0,3.5,3.0,0.1,0.4,0.5,5147,McCain Tradition,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,38.0,2173.0,523.0,36.0,11.0,6.3,0.05,24.0,36.0,16574,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,63.0,2045.0,488.0,22.0,3.0,8.0,0.0,3.0,57.0,16551,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,54.0,2270.0,545.0,33.0,6.0,5.0,0.02,,51.0,16621,,,,g,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,21.0,52.0,16639,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,51.0,2290.0,551.0,35.0,7.0,4.5,0.01,21.0,48.0,16610,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,51.0,2300.0,551.0,35.0,6.0,5.0,0.02,21.0,49.0,16625,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,54.0,2270.0,545.0,33.0,2.0,7.0,0.23,20.0,53.0,16583,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,47.0,2430.0,584.0,40.0,4.0,7.0,0.12,20.0,45.0,16592,,,,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,77.0,1880.0,447.0,14.0,1.5,2.5,0.07,8.0,63.0,16600,,,,g,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,65.0,1800.0,440.0,15.0,3.5,11.0,3.1,8.0,6.0,4671,Knorr Croûtons Knoblauch,,120.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,1.0,656.0,157.0,9.0,0.6,18.0,1.7,3.6,1.0,7158,CITTERIO taglio fresco Grancotto di Vignola PROSCIUTTO COTTO DI VIGNOLA,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,3.3,1390.0,338.0,35.0,,2.5,0.1,21.0,3.3,6226,Cremo Vollrahm UHT,,1000.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,,,,,,,,,,9642,Baron de Hoen Vins d'Alsace Riesling Vendanges Tardives 2010,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,19.0,716.0,171.0,8.0,1.5,5.0,1.3,1.5,2.5,12000,M-Classic Spinat-Plätzli,,600.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,9.5,167.0,39.0,0.0,0.0,0.0,0.0,0.0,9.5,10592,SANPELLEGRINO ARANCIATA AMARA,,330.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,12.3,400.0,95.0,2.3,0.1,5.3,0.12,1.6,11.9,6816,Yoplait Petits Filous,,600.0,g,150.0,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,
1308,73.0,1583.0,374.0,2.5,3.5,13.0,3.0,1.0,0.7,13466,M-Budget  Salzstangen,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,21.0,440.0,105.0,0.0,,1.0,,,,4670,COOP naturaplan HIMBEERE,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,8.0,2600.0,631.0,57.0,17.0,13.0,0.03,35.0,0.0,11387,MIGROS SÉLECTION Madagascar 100% Cacao,,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,14.0,325.0,76.0,0.0,,0.2,0.05,0.0,14.0,13758,Rocca di Vignola Aceto Balsamico Di Modena IGP,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,5.0,110.0,27.0,0.5,0.5,1.5,0.8,,1.0,11229,Bon Chef Champignons,,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,77.0,1450.0,347.0,1.0,,7.0,,,,16673,,,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,78.0,1490.0,351.0,0.5,,8.0,,,,16675,,,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,13.0,2360.0,565.0,8.0,2.5,5.0,4.2,1.5,3.0,20593,Green begeabe Quinoa,,380.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,16.0,290.0,68.0,0.0,1.0,0.5,0.0,,16.0,10051,M Classic Fruchtcocktail in Sirup,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,1.0,50.0,12.0,0.0,1.5,1.0,,0.0,1.0,7852,Betty Rossi Kopfsalat mit Herzen,,160.0,g,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,,226.0,54.0,,,,,,,9138,CUBANISTO RUM FLAVOURED BEER,,,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,50.7,1334.0,315.0,0.9,8.3,21.9,0.01,0.1,2.9,4018,Fagioli Stregoni Piemontesi,,300.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,1.0,1023.0,246.0,18.5,,18.9,,,,18684,,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,14.3,465.0,111.0,5.4,0.2,1.3,0.1,4.8,12.6,6871,Nestlé Friscolino Vanille/Erdbeer,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,1.5,1010.0,242.0,18.0,0.0,19.0,0.6,11.0,1.5,8364,COOP PR!X Garantie Mozzarella,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,67.0,1931.0,460.0,18.0,3.0,6.0,0.0,1.5,61.0,13396,Patissier Marzipan,,165.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,71.7,1521.0,359.0,2.0,3.0,12.0,0.05,0.5,3.5,5655,Barilla Collezione Tagliatelle Con Spinaci Bolognesi,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,9.0,153.0,36.0,0.0,0.0,0.0,0.02,0.0,9.0,13816,Migros Jarimba ,,1500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,30.0,530.0,127.0,0.0,,1.0,,,,6912,Coop Fine Food Sorbetto al mango,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,2.5,163.0,39.0,1.8,0.5,3.0,0.11,0.3,2.5,4317,alpro Soya Original,,1000.0,ml,120.0,,,,,,,,,,0.21,,,0.75,,,,,,,,,,,0.38,,,,,,,,,,
1328,74.0,1710.0,405.0,11.0,2.0,1.5,0.0,,65.0,16605,,,,g,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,94.0,1598.0,376.0,0.0,0.0,0.0,0.0,,94.0,16599,,,,g,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,50.0,2260.0,543.0,33.0,9.0,7.0,0.0,20.0,46.0,16577,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,47.0,2473.0,595.0,42.0,2.3,6.0,0.2,27.0,46.0,16565,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,,,,,,,,,,2422,Goldvan Swiss Milk Chocolate Coins,,180.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,,,,,,,,,,8624,Domaine Du Paradis Rosé de Gamay AOC Genève 2015,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,70.0,1450.0,347.0,1.0,6.0,10.0,0.01,0.5,0.5,2930,Coop Himalayan Basmati Rice,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,66.0,1675.0,400.0,12.5,2.5,3.6,0.28,6.1,49.0,3816,Lu PiM's L'Original Framboise,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,0.5,90.0,22.0,,2.0,2.5,,0.0,0.5,6134,Coop Naturalplan Blattspinat,,,g,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,13.6,542.0,129.0,6.1,0.2,4.1,0.05,3.6,13.4,6493,Nestlé Joghurt Nach Griechischer Art Feigen,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,22.0,613.0,146.0,5.0,2.5,2.0,0.0,0.5,0.5,14625,Pommes frites,,2000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,4.0,670.0,160.0,15.0,,3.0,0.2,9.0,4.0,1533,Bio coffee cream,['Switzerland'],120.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,,,,,,,,,,2915,Presidio Slow Food RISO DI GRUMOLO DELLE ABBADESSE RISO SEMIFINO VIALONE NANO STAGIONATO 22 MESI DETACCHI,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,14.8,657.0,158.0,9.6,0.8,2.5,0.07,4.5,12.5,6921,MÖVENPICK Almond & Vanilla,,900.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,54.0,2333.0,559.0,35.0,,6.2,0.22,22.0,53.0,3877,Lindt hello A Tiny Little Something Just For You,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,67.0,1530.0,361.0,3.5,3.0,14.0,0.09,1.2,4.0,10533,Festaiola Agnesi Le Lasagne All'uovo Con Spinaci,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,0.5,1194.0,288.0,24.0,,18.0,1.9,17.0,0.5,8037,CHAUMES LE CRÉMIER Crémeux et fondant,,250.0,g,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,6.9,1110.0,268.0,21.4,1.9,10.8,1.2,12.4,1.7,3638,Nestlé Le Parfait thunfisch,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,52.0,2470.0,592.0,40.0,0.0,6.0,0.25,24.0,52.0,16636,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,21.0,52.0,16580,,,,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,50.0,2380.0,572.0,38.0,3.0,6.0,0.12,19.0,48.0,16633,,,209.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,53.0,2340.0,560.0,35.0,2.5,7.0,0.19,21.0,52.0,16616,,,240.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,51.0,2290.0,551.0,35.0,7.0,4.5,0.01,21.0,48.0,16650,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,53.0,2330.0,559.0,35.0,2.0,7.0,0.2,21.0,52.0,16627,,,,g,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,56.0,2010.0,481.0,23.0,3.0,11.0,2.2,16.0,5.0,2359,Coop naturaplan Flûtes Mit Salz,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,,,,,,,,,,7843,Cresson de Fonaine,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,0.1,1657.0,399.0,31.0,,29.0,0.5,19.0,0.1,8232,Emmi Kaltbach Emmentaler Höhlengereift,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,1.0,1590.0,384.0,30.0,,28.0,4.0,,1.0,7074,Ticinella salametti mit Valle Maggia Pfeffer,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,61.0,2240.0,536.0,30.0,,5.0,0.0,18.0,61.0,2375,Confiland Milk chocolate,,250.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,,,,,,,,,,8168,Val d'Arve Le Tonneau,,210.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
